length,width
5.082547461,6.054373824
6.063174945,4.325968094
5.221067322,4.400541625
5.84241348,2.421891519
4.112048458,3.784133839
4.895455119,4.802348707
6.525369066,4.986961893
4.831947652,4.943420474
4.291384825,6.195829881
5.020885491,4.150392282
5.171419354,6.440842514
4.366611781,6.795224362
5.384553973,6.270171525
4.760281178,5.728454022
6.426479448,4.96548457
4.270507701,5.060641271
4.676878201,4.063057538
3.342033161,4.154686901
5.483487511,4.376159814
6.08377193,5.317664737
3.290643968,4.300698065
4.479903845,4.738830149
5.504484027,4.699425526
5.678288139,5.857444965
4.061686305,4.971269864
4.077343227,6.838567524
5.100346504,3.551561279
6.449132888,5.323044019
5.404320069,5.969213324
5.419905322,3.332860798
3.37200824,4.05222155
4.731432693,6.05305221
5.411587479,2.870984419
5.444063053,5.011463799
5.384203796,4.620339857
3.649119632,3.46257718
4.681667769,4.513672783
4.557760179,3.813986854
4.746142754,5.720374391
6.555992079,3.117489799
4.678178771,4.433422284
4.06785813,5.431351287
3.193052171,4.385221634
2.750625846,4.791528955
4.395791796,4.917127692
4.271477944,5.251587654
3.905509755,4.191247639
5.134055503,5.524701093
2.540961461,5.862518422
5.703304334,5.632998731
3.592342156,4.598796221
4.083745038,3.498452353
5.682110038,5.34722116
4.174171306,4.204897883
5.708637932,5.070758637
4.10339361,5.631653313
3.378082348,6.094303587
4.525353122,6.695007737
5.6271308,4.504823716
3.76315447,3.90123478
4.81232598,5.019227158
4.619683521,4.890381588
4.382499867,5.219171704
4.081881354,5.530962837
5.012887953,5.264255348
5.560132107,4.349882627
5.068436531,2.577522943
6.183767204,6.398757385
6.821146992,5.277060879
4.736459972,4.995019631
5.429244737,3.358577874
4.628743046,5.318148524
3.749168509,4.880186804
5.524130923,5.134500413
7.092416791,5.057283033
4.643964748,5.089496129
4.75845711,4.175435603
6.360222879,4.473511471
6.321632082,5.762564986
4.143576352,5.043112497
4.575352843,3.680218021
5.12118104,4.228163493
4.465589243,4.67551632
4.475912234,5.717398761
5.447336247,3.99099375
4.948747796,5.963906502
5.689057299,3.970827004
5.148883981,4.778486674
4.773822248,5.618176443
3.581519918,4.78831713
4.768823821,3.997622175
3.435540322,5.168179473
4.421568277,3.550213639
5.707754539,4.672522959
5.229274422,3.940033007
5.411876247,5.486666409
5.246488955,3.761042026
5.608773953,3.003984196
5.950554863,3.939545932
5.221182924,2.199631057
5.891729721,10.05666708
6.548253089,9.681560066
4.830944755,9.139669783
3.211886506,9.552985672
4.972716297,8.856369407
4.029945702,9.926212285
5.116738983,10.58833036
5.668833977,7.004252359
4.688091555,10.26137754
5.108197897,8.760839229
2.888552625,8.988919503
5.443825497,8.406752348
6.042995867,10.16702792
6.811070985,10.54283587
5.645669636,9.429811077
5.322118054,9.523198028
3.679659004,7.841018958
3.459922962,10.25251574
5.590493727,8.410876889
3.564775427,8.180136581
4.060724671,8.13219015
5.737291015,10.96901585
3.68574157,11.29529585
6.300422289,8.22479664
2.833605376,9.990780499
4.812988662,10.31732753
4.146831789,9.410936967
4.837006154,9.178914412
5.075314318,7.80449951
3.183485582,8.942848738
4.082073962,9.670845002
4.467099443,8.926859757
6.367556809,6.836666868
5.846538873,10.62478361
4.942293367,5.848098346
5.80773189,11.61180053
4.588649645,8.934133111
5.881304969,6.824986494
4.42527051,7.479969629
4.966148933,8.773604085
6.45544404,9.454957912
1.615338017,9.301080131
7.032726485,8.510757741
3.727717335,9.263886123
6.132409073,10.69224253
4.662132898,10.32284322
3.911355853,8.108301253
6.029633928,11.50705434
4.694173114,7.707397011
5.097809923,8.855119461
3.803980439,10.07674853
4.116032955,7.663391512
6.34955504,8.758503753
4.719520974,8.959521999
4.134247922,9.977538082
5.816704707,8.611653982
3.266772963,8.877761339
4.556732262,8.285329153
7.098685266,8.806938089
4.920013059,8.741569615
6.691989948,6.567616936
7.545443106,10.1699533
4.13949263,9.531229258
5.293623619,7.724463822
3.183711347,9.826146341
3.596921812,9.56297634
5.499929264,8.720754085
6.523414681,10.7180542
6.2064195,8.37714178
6.315076467,12.32126055
4.108086326,10.1023771
5.51362613,9.825709105
3.616534877,9.08344061
3.033179455,8.913727683
5.653000485,8.772763909
4.468801048,7.570612976
4.395977685,12.17996018
5.961032372,10.35535129
3.189843193,9.160388129
4.131397566,9.114683131
5.152310575,6.950374571
2.91212738,8.418038877
2.8404648,8.388027256
3.794426745,10.7090352
4.140437006,10.70845155
5.698752452,10.34588359
6.564530686,9.128952025
5.473433031,7.861591835
4.30324885,8.996224046
5.392057425,7.58009401
4.739340096,11.58147904
7.065892858,9.48421601
2.760076131,10.8322794
3.017559366,9.272323438
4.261662945,9.797124987
5.027375995,9.290327161
4.908723021,7.771665659
6.383684,9.470020292
4.759884386,9.051703346
6.499233827,9.635932645
8.810988112,4.491247763
7.618576322,3.171765253
8.114042037,2.119446057
9.229111891,4.805572536
8.990322594,6.911525674
8.736864171,1.621766133
8.376528769,1.731619858
7.571930211,6.496317711
12.41112984,3.932035136
8.070452884,5.479025809
10.5381662,3.618790102
8.353026087,5.240660367
9.713397424,4.699051079
8.228767422,5.222652847
7.301772548,4.47636915
9.586856288,6.734669347
9.554449407,3.007016923
7.641336136,3.687418892
10.68329806,4.393417483
8.982312881,6.458026849
7.977084207,4.430255213
9.583588339,5.058296109
10.39998889,5.568764086
7.278842792,6.320844213
8.275362618,4.423073447
11.31346006,5.398335671
8.134959715,7.176779096
8.73792239,5.310965614
8.831026265,8.462032195
8.405609141,4.647428659
8.762128811,6.183152552
8.704392088,7.030600368
10.07110719,3.013047343
9.288348528,4.826970506
9.250331496,2.475971799
10.24198653,7.135487184
10.01404297,4.115090922
8.274947098,5.74329636
9.709908036,7.724257429
10.40594736,4.399603679
11.56870349,7.476491362
11.29206659,5.806122059
6.445910927,2.902289788
8.410805702,6.370987836
9.987625126,4.478267526
8.647465284,4.463337313
9.084063248,5.54114839
10.63015707,4.950597237
8.469517506,3.861603799
10.9024919,4.232084294
10.48280636,6.410914353
7.958555724,5.328578959
7.666574809,6.276741896
7.733743761,3.144621449
8.332944113,5.647361144
7.616876447,4.860329566
8.108748802,4.326332263
9.23823202,3.777589173
7.490903304,4.252052005
9.349952495,6.646287281
9.910820004,3.833147547
9.255239236,5.702063493
10.05638013,6.685843384
5.520084687,6.407779347
9.670985332,5.103918758
8.268249698,5.447227209
6.800798238,4.624555987
10.2947649,5.328453202
7.331745697,3.987450205
8.200698812,7.08756424
11.82116689,3.632691884
7.981751331,3.520682547
8.818094524,5.369690391
