CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2,0.66666667,0.0,0.42857143,0.0,0.33333333,0.0,0.00040032,0.5,0.66666667
3,0.16666667,0.0,0.47619048,0.25,0.08333333,0.0,0.00066961,0.09090909,0.55
4,0.66666667,0.6,0.11111111,0.0,0.75,0.75,0.00010012,0.33333333,4.0
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
10,1.0,1.0,0.14285714,0.0,1.0,1.0,0.00013344,1.0,3.0
11,0.5,0.375,0.41176471,0.4,0.6,0.6,0.0005609,0.25,0.71428571
12,1.0,0.0,0.33333333,0.0,0.0,0.0,0.00020008,1.0,1.0
13,0.7,0.8,0.125,0.0,0.8,0.8,0.00016026,0.25,3.5
14,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
15,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0
16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
20,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0
21,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0
22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
23,0.7,0.8,0.0,0.0,0.8,0.8,0.0,0.25,7.0
24,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
25,0.25,0.1,0.05263158,0.0,0.33333333,0.33333333,4.459e-05,0.125,9.0
26,0.28571429,0.13043478,0.11111111,0.0,0.375,0.375,0.00010028,0.14285714,4.0
27,0.5,0.0,0.4,0.0,0.5,0.0,0.00040048,0.33333333,0.75
28,0.1025641,0.08653846,0.06493506,0.0,0.48148148,0.44444444,7.485e-05,0.03846154,7.2
29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
30,0.7,0.8,0.0,0.0,0.8,0.8,0.0,0.25,7.0
31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
32,0.4,0.0,0.2,0.0,0.2,0.0,0.00016026,0.25,2.0
33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
35,0.33333333,0.17647059,0.0,0.0,0.42857143,0.42857143,0.0,0.16666667,7.0
36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
37,0.8,0.78947368,0.0,0.0,1.0,1.0,0.0,0.5,8.0
38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
39,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
40,0.30555556,0.32432432,0.04347826,0.0,0.44444444,0.44444444,4.459e-05,0.125,11.0
41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
42,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
48,0.66666667,0.0,0.2,0.0,0.33333333,0.0,0.00013344,0.5,2.0
49,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0
50,0.5,0.375,0.09090909,0.0,0.6,0.6,8.013e-05,0.25,5.0
51,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.25,4.0
52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
53,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
55,0.32142857,0.23076923,0.1,0.0,0.5,0.5,0.00010028,0.14285714,4.5
56,0.24444444,0.14634146,0.0,0.0,0.4,0.4,0.0,0.11111111,11.0
57,0.66666667,0.0,0.2,0.0,0.33333333,0.0,0.00013344,0.5,2.0
58,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
62,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
66,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
68,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
69,1.0,0.0,0.33333333,0.0,0.0,0.0,0.00020008,1.0,1.0
70,0.83333333,0.75,0.0,0.0,1.0,1.0,0.0,0.66666667,5.0
71,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
72,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
74,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0
75,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
76,0.7,0.6,0.0,0.0,1.0,1.0,0.0,0.5,7.0
77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
79,0.66666667,0.6,0.0,0.0,0.75,0.75,0.0,0.33333333,4.0
80,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
81,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
82,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
83,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
84,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
86,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0
87,0.66666667,0.0,0.42857143,0.33333333,0.33333333,0.0,0.00040032,0.5,0.66666667
88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
89,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
90,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
91,0.83333333,0.75,0.0,0.0,1.0,1.0,0.0,0.66666667,5.0
92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
93,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
94,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
99,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
100,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
101,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
102,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
103,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
104,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0
105,0.22222222,0.07894737,0.0,0.0,0.3,0.3,0.0,0.11111111,10.0
106,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
107,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
108,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
109,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
110,0.33333333,0.0,0.0,0.0,0.16666667,0.0,0.0,0.2,5.0
111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
112,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0
113,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
114,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
115,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.33333333,3.0
116,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
117,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
118,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
119,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
120,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
121,0.9,0.875,0.0,0.0,1.0,1.0,0.0,0.75,9.0
122,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
123,0.61904762,0.61363636,0.0,0.0,1.0,1.0,0.0,0.33333333,13.0
124,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
125,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
126,0.22222222,0.0,0.16666667,0.0,0.4,0.0,0.00016058,0.11111111,2.5
127,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
128,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0
129,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
130,0.5,0.0,0.25,0.0,0.25,0.0,0.00020024,0.33333333,1.5
131,0.5,0.375,0.09090909,0.0,0.6,0.6,8.013e-05,0.25,5.0
132,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
133,0.6,0.54545455,0.0,0.0,0.8,0.8,0.0,0.25,6.0
134,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0
135,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
136,0.33333333,0.0,0.0,0.0,0.5,0.0,0.0,0.2,5.0
137,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
138,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
139,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
140,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0
141,0.55555556,0.63529412,0.02439024,0.0,1.0,1.0,4.459e-05,0.25,20.0
142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
143,0.66666667,0.0,0.2,0.0,0.33333333,0.0,0.00013344,0.5,2.0
144,0.66666667,0.0,0.0,0.0,0.33333333,0.0,0.0,0.5,2.0
145,0.66666667,0.61363636,0.0,0.0,1.0,1.0,0.0,0.5,14.0
146,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
