"station_id","time","PM25_Concentration","PM10_Concentration","NO2_Concentration","CO_Concentration","O3_Concentration","SO2_Concentration"
1001,2014-10-22 12:00:00,"77","149.4","88.3","1.3","9.5","18.2"
1001,2014-10-23 12:00:00,"146","148.7","55.6","1","21","12.2"
1001,2014-10-24 12:00:00,"243","263.7","79.5","1.5","38.4","22.9"
1001,2014-10-25 12:00:00,"356","NULL","66.2","1.9","48.7","14.5"
1002,2014-10-22 12:00:00,"82","167.5","NULL","0.5","NULL","14.3"
1002,2014-10-23 12:00:00,"146","155.7","44.8","1","46.4","9.4"
1002,2014-10-24 12:00:00,"252","254.3","38.4","1.6","2","28"
1002,2014-10-25 12:00:00,"365","NULL","56.2","2","68.9","17.1"
1003,2014-10-22 12:00:00,"72","173","89","1.6","6","18"
1003,2014-10-23 12:00:00,"128","165","59","1.2","26","11"
1003,2014-10-24 12:00:00,"217","246","90","1.7","53","26"
1003,2014-10-25 12:00:00,"321","350","64","2.1","77","14"
1004,2014-10-22 12:00:00,"85","191.1","76","1.2","2","16.6"
1004,2014-10-23 12:00:00,"158","181.4","60","1.2","15.7","10.1"
1004,2014-10-24 12:00:00,"258","287.4","101","1.9","41.6","30.3"
1004,2014-10-25 12:00:00,"379","NULL","67.2","2.2","66.9","20.1"
1005,2014-10-22 12:00:00,"57","151.9","66.2","0.9","2.4","11.1"
1005,2014-10-23 12:00:00,"128","189.8","76","1.2","8.5","9.6"
1005,2014-10-24 12:00:00,"235","334.7","101.6","1.9","31.4","26"
1005,2014-10-25 12:00:00,"342","382.7","88.4","2.1","51.6","17.4"
1006,2014-10-22 12:00:00,"76","176","104","1.6","2","20"
1006,2014-10-23 12:00:00,"137","166","71","1","NULL","12"
1006,2014-10-24 12:00:00,"227","299","108","1.7","21","25"
1006,2014-10-25 12:00:00,"321","332","90","1.9","44","18"
1007,2014-10-22 12:00:00,"85","208","144","1.7","2","16"
1007,2014-10-23 12:00:00,"137","189","76","1.2","25","9"
1007,2014-10-24 12:00:00,"242","280","108","1.8","29","20"
1007,2014-10-25 12:00:00,"310","NULL","67","1.8","66","11"
1008,2014-10-22 12:00:00,"88","205.3","86.7","1.8","2.7","13.5"
1008,2014-10-23 12:00:00,"145","182.9","69.8","1.2","11.2","12.2"
1008,2014-10-24 12:00:00,"254","302.7","97.8","1.8","33.5","29.2"
1008,2014-10-25 12:00:00,"350","NULL","73.1","1.9","60.1","19.2"
1009,2014-10-22 12:00:00,"70","166","85","1.3","2","13"
1009,2014-10-23 12:00:00,"88","187","73","1.5","14","8"
1009,2014-10-25 12:00:00,"222","NULL","NULL","NULL","NULL","NULL"
1010,2014-10-22 12:00:00,"89","151.8","94.1","1.4","2.8","21.2"
1010,2014-10-23 12:00:00,"157","170.6","79.1","1.3","10.7","15.2"
1010,2014-10-24 12:00:00,"282","NULL","116.5","2.1","29.1","29.7"
1010,2014-10-25 12:00:00,"384","NULL","102.4","2.2","44.5","17.1"
1011,2014-10-22 12:00:00,"90","176.8","81.7","1.9","2","17.6"
1011,2014-10-23 12:00:00,"156","184.1","84.5","1.6","2","17.4"
1011,2014-10-24 12:00:00,"275","287.5","140.1","2.4","2","15.6"
1011,2014-10-25 12:00:00,"392","NULL","128.6","2.5","2","9.1"
1012,2014-10-22 12:00:00,"102","226","84","1.6","2","12"
1012,2014-10-23 12:00:00,"142","204","82","1.2","8","14"
1012,2014-10-24 12:00:00,"NULL","NULL","89","1.6","36","NULL"
1012,2014-10-25 12:00:00,"363","NULL","83","2","58","15"
1013,2014-10-22 12:00:00,"74","184","80","1.8","3","13"
1013,2014-10-23 12:00:00,"120","160","71","1.3","16","10"
1013,2014-10-24 12:00:00,"216","272","103","2.1","22","22"
1013,2014-10-25 12:00:00,"286","296","80","2.3","48","13"
1014,2014-10-22 12:00:00,"59","218","96.3","2.1","2","20"
