"station_id","T274","T275","T276","T277","T278","T279","T280","T281","T282","T283","T284","T285","T286","T287","T288","T289","T290","T291","T292","T293","T294","T295","T296","T297","T298","T299","T300","T301","T302","T303","T304","T305","T306","T307","T308","T309","T310","T311","T312","T313","T314","T315","T316","T317","T318","T319","T320","T321","T322","T323","T324","T325","T326","T327","T328","T329","T330","T331","T332","T333","T334","T335","T336","T337","T338","T339","T340","T341","T342","T343","T344","T345","T346","T347","T348","T349","T350","T351","T352","T353","T354","T355","T356","T357","T358","T359","T360","T361","T362","T363","T364","T365"
1001,101.2,42,86.9,64,53.7,42.8,115.2,239,298.5,273,NA,NA,48.7,104.7,123,94.4,158.2,176.7,394.3,305,62.8,149.4,148.7,263.7,356,NA,99.9,NA,161.1,169,174,41.5,47.8,46.6,110.3,48.2,47.9,57,73,44,109,44.3,55.8,52.1,39.5,135.4,43.6,49,108.4,265.7,405.4,380.2,38.8,252.5,55.9,136.2,250.4,49.5,161,309.3,103.6,45.3,49,44.5,49.8,53.6,44,32.3,74.1,214,44.1,51.2,44.3,89.4,88.1,69,61.2,184.3,146.1,46.7,63.5,45.1,101.7,212,47.9,41.5,140.5,225.8,94.5,51.4,38.5,37.5
1002,83.7,61,117,70,76,45.2,102.8,256,399,347,NA,3,65.9,61.1,104,103.3,143.6,131.5,397.4,281,51.7,167.5,155.7,254.3,365,NA,52,NA,114,188.7,149,69.7,74.3,50.5,93.7,75.4,68.5,81.4,81.3,69.7,93.5,67.5,77.9,NA,46,136.8,78.3,62.4,90.2,267,346,411,72.9,130.5,54.9,135,255,51.1,122.6,279.2,148.1,69.8,74.2,68.1,72.4,74.8,46.5,66.4,149.4,94,203,68.2,64.2,67.4,53.6,76.8,68.2,162.2,140.4,83,42.1,64.4,90.4,102,74.4,78.6,82.8,210,65.7,77,54.7,74.6
1003,107,99,123.2,62,11,49,122,223,336,317,346,57,63,73,127,106,190,210,465,245,82,203,154,269,350,68,100,NA,117,160,149,61,68,78,103,76,56,70,80.2,62.1,78,67,80,67,40,115,65,67,73,291,283,244,44.4,181,62,160,251,41,130,295,153,58,76.9,61.2,70,66,58,56,58,202,254,67,65,76,60,91,65,182.5,152,64,54,78,63,97,50,41,166,210,65,135,49,59.8
1004,115,77,128.7,58.9,68.3,57.6,126.4,248.8,341,NA,267,3,50.4,82.7,109.4,87.5,172.6,249.3,457.4,388,82,191.1,181.4,260.6,379,NA,84.6,NA,147.4,182.2,163.9,62.3,51,47.7,109.4,102,50.8,89.9,93.3,86.2,65.8,51.6,64.6,112,54.2,114.4,57.2,64.5,105.5,306.7,342.1,261.5,52.7,174.7,60.5,217.3,257.4,53.1,194.4,383.3,244.6,56.1,94,62.2,66.6,80.6,48.2,46.7,90.5,229.5,194.4,67.3,42.7,65.2,116.9,65.8,26.9,191.6,174,75.3,61.3,50.7,143.1,184.4,76.9,61.4,137.1,245.5,205.2,228.3,64.9,64.4
1005,139.9,79,174.2,63,62.1,56.4,167.6,266,360.6,339,219,48.4,44,95.3,227.3,95.2,206.3,282.5,316.8,274,41,184.7,189.8,280.2,382.7,NA,46.5,NA,157.5,129,166,40.2,58.6,64.2,173.1,123,48.6,95.1,93.2,72.7,91.7,63.5,60.2,49.6,53.3,130.8,426.2,47.5,86.5,344.7,147.7,426.5,54.4,244.9,71.7,226.2,318.1,50.2,115.8,449,319.2,46.8,101,42.5,50.6,70,38.4,42.3,136.8,343.8,384,49.4,39.9,110.6,192.9,129,41.6,206,187.2,93.1,36.2,76.4,152.9,220,50.1,45.5,158,300.1,449.7,218.1,92.1,95.8
1006,112.5,54,89,73,42.7,74.5,131,242,348,343,360,31,37,99,171,61,184,182,363,264,79,176,169,299,334,42,63,NA,132.4,165,127,38,40,56,123.4,37,32,88.6,78.9,55,65,46,38.3,63,76,118,27,32,100,308,282,210,51,134,70,153,330,56,125,341,91,40,53.5,31.3,41,47,52,38,77,258,272,34,62,88,80,44,32,119.8,159,49,42,32,120,100,34,38,144,223,80,151,60,37.5
1007,112,51,64,68,56,NA,136,253,352,351,258,6,45,80,149,50,171,210,242,243,125,201,183,252,335,62,92,159,146,161,113,39,57,43,153.8,60,55,82,87.9,61,63,61,63,43,45,118,48.7,38,74,308,614,93,59,131,37,191,230,36,137,362,51,46,57.7,49.8,57,49,38,48,66,356,367,38,58,97,81,54,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1008,129.8,74,69,85,47.5,49.8,147.1,271,343,439,298,45.4,48.7,80.6,93,NA,187.4,185.8,411.9,262,45,205.3,182.9,302.7,350,NA,56,NA,155.9,177.8,130,16,32.1,27,147.9,57.7,53.2,92,87.2,52.4,66.6,87.4,88,57.8,44.1,136.4,48.7,56.8,104.3,357.1,318.8,204,55.6,104,53.8,202.4,285.4,46.7,140.8,362.2,247.6,52.7,65.2,58.3,60.3,53,51.5,57.3,73.1,339.1,267.3,50.5,54.9,68.9,79.9,62.1,61.6,168.2,164,62.4,54.8,50.9,86.3,83.1,47,51.9,96,205.4,88.4,114,63.7,56.9
1010,121.8,82,130,104,56.6,55.6,145,298,369,396,245,40,48.9,94.7,65.6,62.8,157.1,186.6,404,412,71.4,175.8,170.6,282,384,NA,77.3,NA,142.1,180.8,146,57,74.1,58.7,178.3,64.7,54.2,75.6,91,50.2,65.2,57,70.6,102.1,39,135.8,44.4,44.7,67.5,340.1,314,171.2,93.9,186.7,88.4,180.7,243,70.4,136.8,336.1,181.6,70.9,92.4,45.7,86.8,73.5,74.4,63.2,116.2,364.7,185.6,65,73.8,141.7,57.3,56,55,158.2,106.2,63.8,42.7,43.2,145.5,71.9,52.9,46.3,117.3,159,64.1,116,76.9,73.9
1011,161.2,89.4,149.5,83.8,53.7,109,180.3,273.3,343,350,239,64.3,64,107.1,123.9,69.3,231.3,205.6,276.9,293,70.9,176.8,184.1,270.6,392,NA,107.1,NA,156.3,193.5,153,79.3,79.8,104.7,181.8,106.4,55.2,101.7,102.1,68.2,87,46.9,47.6,77.5,47.4,140.7,35.1,53.3,66.8,370.8,330,358.9,82.4,156.6,66.7,180.4,251,52.5,177.4,373.5,101.3,37.4,123,81,66.3,70.2,73.9,34.9,117,340.3,208.1,68.3,45.6,158.8,70.4,61.2,91.7,198,162.8,45.6,52.8,72.3,230.1,83.5,43.8,68.1,125,204.1,72.8,303.9,216.5,40.6
1012,157.7,51,101,84,76,NA,174,276,347,341,262,52,62,116,99,92,168,195,481,269,122,199,198,187,363,70,75,144,170,209,147,59,70,79,183.9,47,69.6,101,78.4,49,58,56,81,56,51,186,42,66,84,406,353.9,65,62.2,127,59,213,293,64,144,417,166,89,66.5,52,72,34,57,66,122,331,344,67,67,79,77,72,60,148,172,71,45,42,99,106,63,69,173,212,100,81,101,60.1
