"id","time","station_id","district_id","latitude","longitude","PM25_Concentration","PM10_Concentration","NO2_Concentration","CO_Concentration","O3_Concentration","SO2_Concentration","weather","temperature","pressure","humidity","wind_speed","wind_direction"
"1001_274","2014-10-01 12:00:00",1001,101,40.090679,116.173553,"58","101.2","55.1","0.6","4.3","5.4","4","9","NULL","99","NULL","1"
"1001_275","2014-10-02 13:00:00",1001,101,40.090679,116.173553,"42","NULL","32.1","0.7","24.1","13.9","0","21","NULL","56","NULL","4"
"1001_276","2014-10-03 12:00:00",1001,101,40.090679,116.173553,"68","86.9","52.1","1","4.8","6.1","4","17","NULL","79","NULL","1"
"1001_277","2014-10-04 13:00:00",1001,101,40.090679,116.173553,"64","NULL","48.6","0.7","18.6","4","2","16","NULL","87","NULL","14"
"1001_278","2014-10-05 11:00:00",1001,101,40.090679,116.173553,"9","NULL","17","0.3","53.7","5.3","0","19","NULL","40","NULL","14"
"1001_279","2014-10-06 11:00:00",1001,101,40.090679,116.173553,"27","NULL","42.8","0.4","25.2","3.3","0","21","NULL","31","NULL","3"
"1001_280","2014-10-07 13:00:00",1001,101,40.090679,116.173553,"96","115.2","57.9","0.9","72.2","15.3","0","19","NULL","49","NULL","1"
"1001_281","2014-10-08 12:00:00",1001,101,40.090679,116.173553,"239","NULL","68.3","1.2","23.5","7.3","14","18","NULL","76","NULL","1"
"1001_282","2014-10-09 11:00:00",1001,101,40.090679,116.173553,"NULL","298.5","73.6","2","13.6","5.5","14","21","NULL","71","NULL","4"
"1001_283","2014-10-10 12:00:00",1001,101,40.090679,116.173553,"NULL","273","81.3","2","28.4","12.8","14","21","NULL","73","NULL","4"
"1001_286","2014-10-13 12:00:00",1001,101,40.090679,116.173553,"7","NULL","14","0.3","48.7","5.3","0","16","NULL","23","NULL","1"
"1001_287","2014-10-14 12:00:00",1001,101,40.090679,116.173553,"46","104.7","77.7","0.8","7.7","15","0","21","NULL","27","NULL","23"
"1001_288","2014-10-15 12:00:00",1001,101,40.090679,116.173553,"10","123","16.3","0.3","56.4","4.6","0","21","NULL","20","NULL","4"
"1001_289","2014-10-16 11:00:00",1001,101,40.090679,116.173553,"40","94.4","66.7","0.6","10.4","6","0","21","NULL","22","NULL","23"
"1001_290","2014-10-17 13:00:00",1001,101,40.090679,116.173553,"84","158.2","93.3","0.9","29.8","17.8","0","23","NULL","31","NULL","3"
"1001_291","2014-10-18 12:00:00",1001,101,40.090679,116.173553,"112","176.7","116.3","1","26.9","11.5","14","25","NULL","35","NULL","1"
"1001_292","2014-10-19 12:00:00",1001,101,40.090679,116.173553,"327","394.3","131.3","2.6","4.9","15","14","18","NULL","71","NULL","4"
"1001_293","2014-10-20 12:00:00",1001,101,40.090679,116.173553,"305","NULL","70.1","1.6","51.1","16.8","14","20","NULL","68","NULL","1"
"1001_294","2014-10-21 11:00:00",1001,101,40.090679,116.173553,"38","NULL","62.8","1.3","11.3","26.9","2","15","NULL","27","NULL","2"
"1001_295","2014-10-22 12:00:00",1001,101,40.090679,116.173553,"77","149.4","88.3","1.3","9.5","18.2","2","13","NULL","61","NULL","3"
"1001_296","2014-10-23 12:00:00",1001,101,40.090679,116.173553,"146","148.7","55.6","1","21","12.2","14","14","NULL","68","NULL","14"
"1001_297","2014-10-24 12:00:00",1001,101,40.090679,116.173553,"243","263.7","79.5","1.5","38.4","22.9","14","18","NULL","65","NULL","3"
"1001_298","2014-10-25 12:00:00",1001,101,40.090679,116.173553,"356","NULL","66.2","1.9","48.7","14.5","14","18","NULL","72","NULL","14"
"1001_300","2014-10-27 12:00:00",1001,101,40.090679,116.173553,"32","99.9","57.3","0.7","11.3","10.1","1","13","NULL","27","NULL","3"
"1001_302","2014-10-29 11:00:00",1001,101,40.090679,116.173553,"132","161.1","81.9","1.2","2","10.3","1","15","NULL","51","NULL","23"
"1001_303","2014-10-30 12:00:00",1001,101,40.090679,116.173553,"169","NULL","78.9","1.5","2","8.2","2","13","NULL","76","NULL","1"
"1001_304","2014-10-31 11:00:00",1001,101,40.090679,116.173553,"174","NULL","81.5","2","2","18.5","2","15","NULL","80","NULL","23"
"1001_305","2014-11-01 12:00:00",1001,101,40.090679,116.173553,"9","NULL","23","0.4","41.5","15.7","1","15","NULL","32","NULL","4"
"1001_306","2014-11-02 11:00:00",1001,101,40.090679,116.173553,"9","NULL","8","0.2","47.8","6.5","0","14","NULL","16","NULL","4"
"1001_307","2014-11-03 13:00:00",1001,101,40.090679,116.173553,"8","NULL","28","0.5","46.6","8.4","0","18","NULL","22","NULL","23"
"1001_308","2014-11-04 12:00:00",1001,101,40.090679,116.173553,"77","110.3","48.2","0.9","36.5","15.4","0","16","NULL","37","NULL","3"
