"student_fac","gender","major","second_major","dorm","year","high_school"
1,1,199,0,169,2008,3387
1,1,199,0,165,2006,3172
2,2,208,210,172,2005,50578
1,2,202,0,169,2008,11880
1,0,0,0,0,0,0
1,1,212,0,169,0,9434
1,2,228,0,171,2006,24382
1,1,194,0,166,2008,0
1,2,202,0,166,2008,2903
1,2,201,198,170,2008,3208
2,2,228,0,171,2003,23675
1,2,207,0,167,2006,17001
2,2,199,0,166,2004,24094
1,1,208,0,165,2007,16077
5,2,208,0,0,2005,20631
1,2,208,0,168,2008,3945
2,2,228,0,0,2005,0
1,2,206,0,169,2006,2790
2,2,204,0,167,2001,0
1,2,208,0,165,2007,50154
1,2,202,0,171,2006,11172
1,2,199,0,172,2008,11067
5,2,208,0,0,2004,50211
1,2,223,206,172,2005,1702
2,2,226,0,172,1968,0
1,2,201,0,166,2006,2422
1,2,199,198,0,2009,51548
1,1,202,0,168,2007,2753
1,1,223,0,172,2006,1822
1,2,204,0,170,2008,4686
1,2,228,222,166,2007,8617
1,2,205,200,168,2008,2788
1,2,190,0,168,2007,3034
1,2,223,206,171,2006,50034
1,0,217,0,0,0,0
1,1,196,0,166,2006,2890
1,2,205,0,166,2008,50416
1,2,199,0,170,2006,21841
1,0,0,0,168,0,5641
1,2,199,207,165,2004,22430
1,2,228,0,167,2007,0
1,2,205,0,170,2006,2849
1,2,223,0,169,2008,26488
5,2,212,0,0,0,9077
1,1,205,0,167,0,3448
1,2,223,0,170,2008,21237
1,2,220,226,0,2009,18003
1,0,0,0,0,0,0
2,2,228,0,169,2005,50864
1,1,0,0,172,2006,50498
1,2,223,190,172,2007,23965
1,0,223,0,169,2006,9414
5,1,199,0,170,2009,25393
1,2,199,205,169,2008,6399
2,1,202,0,168,2003,50485
1,2,228,0,172,2007,24548
2,2,194,0,0,2005,1933
1,1,202,0,171,2006,25695
1,2,205,0,168,2008,9262
1,2,228,0,172,2008,2973
2,2,208,0,166,2004,10870
5,0,208,0,167,2004,24491
1,2,208,200,171,2007,1974
1,2,222,0,171,2006,5477
1,1,228,212,166,2008,11468
1,2,202,0,168,2006,50193
1,1,195,230,171,2007,0
2,0,0,0,0,0,0
2,2,207,223,169,2004,0
1,2,222,0,170,0,50692
2,2,0,0,171,2005,55106
1,2,222,0,171,2007,51335
1,1,199,200,165,2006,1320
1,2,199,0,167,2006,19608
1,1,196,0,171,2007,23675
1,2,222,0,170,2007,20327
2,2,209,219,167,2002,2701
1,1,208,0,165,2007,17264
1,2,0,0,172,2008,1277
1,2,190,200,168,2008,1277
1,2,199,202,0,2008,25659
1,2,190,0,167,2008,842
1,2,228,0,169,2008,51697
1,2,228,0,168,2007,22311
1,2,0,0,170,0,0
1,1,223,0,171,2008,4004
1,2,228,0,170,2008,24005
1,2,190,0,168,2005,1764
1,2,223,0,0,2006,0
2,1,199,0,166,2005,18003
1,2,223,200,169,2006,21556
2,1,199,0,172,2004,11872
1,2,202,0,168,2006,10687
1,1,196,228,171,2008,2395
1,2,228,0,169,0,0
1,0,199,0,165,2006,9887
1,2,198,0,171,2006,0
1,2,0,0,170,2008,2868
1,2,194,0,167,0,16090
1,2,223,0,168,2008,50093
1,1,204,226,170,2008,17115
1,2,228,0,170,2008,1320
2,0,224,225,0,2004,0
1,2,228,224,165,2007,15996
1,2,223,0,169,2007,50508
2,1,199,0,0,2005,16805
1,2,223,0,170,2006,2661
1,2,228,207,168,2008,2041
1,2,228,217,166,2006,16536
2,2,205,0,167,2005,24534
2,2,192,0,0,2004,23308
2,1,223,0,170,2005,15903
1,2,223,0,170,2008,2375
1,0,228,0,0,2008,0
2,2,202,0,168,2003,4469
2,1,205,0,169,2005,50042
2,2,208,205,171,2005,54229
1,1,196,0,166,2008,17528
1,2,228,0,167,2008,10872
1,0,0,0,0,0,0
1,1,199,0,168,2008,23675
1,0,0,0,0,0,0
5,0,197,0,0,2008,16532
1,1,205,222,171,2008,13221
2,1,208,0,0,2005,1320
1,2,208,0,170,2008,4151
1,0,0,0,0,0,0
1,2,208,200,165,2006,50578
1,0,0,0,0,0,0
1,2,205,0,170,2008,631
1,1,0,0,172,2008,15855
1,1,0,0,0,0,0
1,2,228,221,172,2008,5347
5,1,211,0,0,0,22536
1,2,202,0,172,2006,0
1,2,228,0,169,2006,17763
2,2,192,0,165,2005,23733
1,2,0,0,168,2008,25996
1,0,201,0,0,0,2665
1,2,190,206,170,2006,50747
1,2,208,0,170,2006,3029
5,2,223,198,167,2007,50460
1,2,208,0,165,2007,1596
1,2,205,0,170,2006,5477
1,2,202,0,167,2006,1763
1,2,199,0,165,2008,1596
2,2,208,0,170,2003,1942
2,2,208,0,170,2001,2072
1,2,190,0,171,2008,4151
1,2,201,0,168,2006,50213
1,1,199,212,169,2008,3310
1,2,223,0,170,0,50707
1,2,228,192,168,2008,50142
5,2,223,0,0,2009,21548
1,2,0,0,0,2009,0
1,1,212,0,166,2006,2702
1,1,223,206,166,2008,24099
1,0,0,0,0,0,0
2,2,190,0,166,2005,21221
2,0,0,0,0,0,0
6,0,0,0,0,0,0
1,1,199,0,165,2007,1277
1,2,208,0,169,2006,2460
1,1,226,0,166,2008,0
1,2,202,199,169,2008,11227
2,2,199,0,170,2005,9331
1,1,0,0,166,2008,0
1,1,199,0,166,2008,2661
1,1,228,0,171,2006,50581
1,2,228,0,172,2007,4249
1,1,222,0,0,2009,0
5,2,211,0,169,0,15943
1,1,227,225,0,0,20884
2,2,205,0,0,2005,52117
1,2,200,208,169,2006,0
2,1,194,0,166,1979,25804
1,0,228,222,172,2006,0
2,2,223,0,166,2003,1333
1,1,205,0,170,2006,0
1,2,222,228,165,2006,50028
1,1,202,0,166,2006,3118
1,1,201,211,166,2006,2753
1,1,199,0,0,0,3301
1,2,208,0,172,2006,0
1,2,205,0,167,2007,23645
1,2,222,212,172,2008,25640
1,2,223,0,172,2006,17763
1,1,222,220,171,2005,23735
1,1,223,0,169,2006,3523
1,2,228,0,172,2008,9130
1,2,208,200,170,2008,50112
1,1,208,0,166,2006,50112
1,2,205,0,167,2008,0
1,1,196,0,0,2006,2725
2,2,197,0,0,2005,2593
1,2,222,207,170,2005,17636
5,1,202,0,0,2008,52088
5,1,199,0,0,0,0
1,2,222,205,169,2008,51075
2,2,228,0,0,2005,50666
1,2,204,214,167,2008,50486
1,2,223,0,169,2008,24140
1,2,208,198,172,2008,1912
1,1,205,0,0,2008,51480
1,1,202,0,172,0,1320
1,0,0,0,0,0,0
1,2,208,221,168,0,20654
2,1,211,200,170,2004,0
1,2,228,0,0,2005,3218
1,2,228,0,168,2007,0
1,2,202,0,171,2007,16420
1,2,208,194,167,2008,2337
1,0,0,0,0,0,0
2,2,228,0,168,1996,17842
1,1,228,0,169,2008,24915
1,2,223,209,170,2006,1346
1,1,199,0,168,2006,8828
1,1,199,0,165,2006,0
1,1,223,0,171,2008,4639
5,2,221,0,165,0,1289
1,1,0,0,0,2008,0
1,2,196,0,165,2006,50666
1,1,207,0,169,2007,23330
5,2,202,0,0,0,23168
1,1,201,199,168,2008,2247
1,2,199,207,169,2007,6088
1,1,199,0,171,2006,2291
1,1,205,0,171,2007,15985
5,1,211,0,0,0,7903
1,1,205,0,172,2008,2561
1,2,204,0,0,2007,50343
1,2,208,0,170,2006,52700
1,1,223,0,0,2007,50025
1,1,199,0,172,2006,20631
1,1,199,0,167,2007,1486
1,1,223,0,170,2007,0
5,0,0,0,0,0,0
1,2,204,0,168,2007,4262
5,2,202,0,0,0,19801
1,1,222,0,168,2008,0
1,2,201,205,168,2008,2026
5,0,199,0,0,0,11931
2,2,199,0,166,1984,21785
2,1,196,0,165,2004,51548
1,2,190,223,171,2008,1702
1,1,199,0,170,2008,768
2,2,199,0,172,2005,25279
2,2,209,0,171,2005,11729
1,2,209,0,0,2009,0
1,2,205,0,172,2007,18294
1,1,199,202,166,2007,1933
2,2,208,0,168,2005,1490
1,1,199,0,172,2006,0
2,2,199,0,0,2005,2072
1,2,194,207,170,2006,2232
5,2,204,0,0,0,4151
1,2,228,0,172,2006,0
1,2,208,0,167,2007,52295
5,2,208,0,170,2004,2291
1,2,192,207,0,2006,2965
1,1,212,192,172,2008,11847
1,1,196,0,0,2009,50210
1,2,222,204,171,2008,6768
1,1,202,0,172,2008,51193
5,2,228,196,0,0,0
1,2,208,222,165,2008,17264
2,2,202,0,171,2004,50076
1,2,228,0,172,2006,9506
1,1,208,0,169,2005,5217
1,2,208,0,166,2006,51302
1,2,228,0,166,2006,50096
1,2,205,207,168,2008,1380
1,2,190,217,171,2008,2094
2,2,209,0,171,2005,2919
1,1,228,0,169,2008,50979
1,2,199,0,170,2006,1320
2,2,207,0,171,2005,20562
1,1,0,0,165,0,0
1,2,223,206,165,2006,3203
1,2,200,0,0,2006,3686
1,2,228,0,168,2007,16156
1,1,228,0,169,2007,0
1,2,228,207,172,2006,50277
1,1,196,0,171,2008,3504
1,2,199,200,170,2007,23675
1,1,194,0,165,2006,0
1,1,209,0,172,2008,1560
1,2,223,0,170,2007,2398
1,2,228,0,172,2006,10573
2,1,199,0,172,2005,3120
1,2,228,196,168,2008,17853
2,0,0,0,0,0,20960
1,1,0,0,0,2009,50034
2,2,223,0,172,2004,26823
2,1,208,0,0,2005,2868
1,2,208,0,169,2008,5449
1,2,190,207,0,2009,55170
2,2,201,0,172,2002,20747
1,1,212,0,169,2006,24869
2,2,228,0,166,2005,2597
1,0,0,0,0,0,0
1,2,228,206,0,2007,17636
2,2,208,0,0,2005,52131
1,1,192,200,168,2006,1734
2,2,208,0,0,2005,17636
2,2,205,0,169,2004,51545
1,2,192,223,168,2007,5477
1,1,196,0,166,2006,50491
1,2,222,0,166,2006,4702
2,0,228,207,0,2003,0
1,2,194,0,167,2008,2072
1,2,228,0,170,2008,970
2,2,228,0,169,2005,50029
