"date","freq","btc","usd_rate","usd"
2010-07-18,605,29150.092,0.0858,2501.0778936
2010-07-19,663,52553.324,0.0808,4246.3085792
2010-07-20,933,43706.28,0.0747,3264.859116
2010-07-21,612,33839.33,0.0792,2680.074936
2010-07-22,490,51619.4,0.0505,2606.7797
2010-07-23,490,26243.04,0.0626,1642.814304
2010-07-24,1324,63255.84,0.0545,3447.44328
2010-07-25,3321,55921.344,0.0505,2824.027872
2010-07-26,597,92141.51,0.056,5159.92456
2010-07-27,603,42048.285,0.06,2522.8971
2010-07-28,3541,72363.555,0.0589,4262.2133895
2010-07-29,459,30509.34,0.0699,2132.602866
2010-07-30,395,29423.514,0.0627,1844.8543278
2010-07-31,359,26790.213,0.0679,1819.0554627
2010-08-01,435,281325.66,0.0611,17188.997826
2010-08-02,500,75596.62,0.06,4535.7972
2010-08-03,952,51767.965,0.06,3106.0779
2010-08-04,588,46467.594,0.057,2648.652858
2010-08-05,805,50508.082,0.061,3080.993002
2010-08-06,410,34860.168,0.0623,2171.7884664
2010-08-07,329,22374.805,0.059,1320.113495
2010-08-08,516,24145.395,0.0609,1470.4545555
2010-08-09,543,94290.85,0.071,6694.65035
2010-08-10,395,32149.33,0.07,2250.4531
2010-08-11,494,68324.34,0.067,4577.73078
2010-08-12,794,45980.87,0.07,3218.6609
2010-08-13,443,26763.525,0.0645,1726.2473625
2010-08-14,504,31256.55,0.067,2094.18885
2010-08-15,375,30846.918,0.0653,2014.3037454
2010-08-16,550,73739.28,0.0655,4829.92284
2010-08-17,424,53463.35,0.07,3742.4345
2010-08-18,525,44545.773,0.068,3029.112564
2010-08-19,418,27377.932,0.0667,1826.1080644
2010-08-20,510,38955.082,0.0655,2551.557871
2010-08-21,466,50173.848,0.0664,3331.5435072
2010-08-22,417,27917.67,0.066,1842.56622
2010-08-23,441,26950.564,0.0649,1749.0916036
2010-08-24,476,32392.078,0.065,2105.48507
2010-08-25,432,26361.904,0.0648,1708.2513792
2010-08-26,417,27025.719,0.064,1729.646016
2010-08-27,389,37033.047,0.065,2407.148055
2010-08-28,392,21886.99,0.0641,1402.956059
2010-08-29,329,16869.152,0.064,1079.625728
2010-08-30,522,33314.11,0.065,2165.41715
2010-08-31,467,41100.945,0.06,2466.0567
2010-09-01,542,36268.547,0.0629,2281.2916063
2010-09-02,404,44090.37,0.0634,2795.329458
2010-09-03,349,33142.44,0.0609,2018.374596
2010-09-04,354,45316.184,0.0624,2827.7298816
2010-09-05,364,140251.1,0.0616,8639.46776
2010-09-06,335,86899.23,0.0616,5352.992568
2010-09-07,334,26255.385,0.061,1601.578485
2010-09-08,453,38356.812,0.062,2378.122344
2010-09-09,532,26744.193,0.0611,1634.0701923
2010-09-10,357,21122.312,0.0618,1305.3588816
2010-09-11,373,20952.424,0.0637,1334.6694088
2010-09-12,532,115033.37,0.0615,7074.552255
2010-09-13,593,38301.4,0.0622,2382.34708
2010-09-14,594,53683.84,0.062,3328.39808
2010-09-15,524,34715.516,0.0604,2096.8171664
2010-09-16,485,42552.26,0.0619,2633.984894
2010-09-17,459,91051.61,0.059,5372.04499
2010-09-18,437,54834.95,0.061,3344.93195
2010-09-19,468,64985.746,0.0627,4074.6062742
2010-09-20,743,49189.793,0.0621,3054.6861453
2010-09-21,1220,35311.527,0.0627,2214.0327429
2010-09-22,943,58875.785,0.0622,3662.073827
2010-09-23,692,129849.28,0.0623,8089.610144
2010-09-24,616,30261.898,0.0622,1882.2900556
2010-09-25,710,39398.88,0.062,2442.73056
2010-09-26,667,36157.883,0.062,2241.788746
2010-09-27,596,43941.723,0.0622,2733.1751706
2010-09-28,1087,111151.63,0.0619,6880.285897
2010-09-29,1218,80484.06,0.0619,4981.963314
2010-09-30,915,82869.88,0.0619,5129.645572
2010-10-01,603,32740.893,0.062,2029.935366
2010-10-02,644,393429.1,0.0614,24156.54674
2010-10-03,540,58929.363,0.0611,3600.5840793
2010-10-04,605,576221.3,0.0613,35322.36569
2010-10-05,495,186322.28,0.0614,11440.187992
2010-10-06,561,147449.42,0.0628,9259.823576
2010-10-07,443,140144.8,0.067,9389.7016
2010-10-08,487,210972.52,0.0869,18333.511988
2010-10-09,550,127738.81,0.0938,11981.900378
2010-10-10,489,125339.92,0.0965,12095.30228
2010-10-11,434,77791.73,0.095,7390.21435
2010-10-12,484,65220.18,0.0949,6189.395082
2010-10-13,512,137738.75,0.105,14462.56875
2010-10-14,456,184841.56,0.102,18853.83912
2010-10-15,446,156263.77,0.105,16407.69585
2010-10-16,564,210044.64,0.101,21214.50864
2010-10-17,583,136110.6,0.102,13883.2812
2010-10-18,1014,226985.4,0.1024,23243.30496
2010-10-19,1359,284539.47,0.097,27600.32859
