"date","freq","btc"
2009-01-03,1,50
2009-01-08,14,700
2009-01-09,7,350
2009-01-10,69,3450
2009-01-11,92,4550
2009-01-12,121,5679
2009-01-13,124,6200
2009-01-14,135,6636
2009-01-15,136,6725
2009-01-16,108,5500
2009-01-17,102,5100
2009-01-18,116,5900
2009-01-19,119,6625
2009-01-20,113,6050
2009-01-21,89,4900
2009-01-22,80,4100
2009-01-23,135,7000
2009-01-24,204,10650
2009-01-25,184,9200
2009-01-26,79,5000
2009-01-27,92,4600
2009-01-28,113,5650
2009-01-29,129,7000
2009-01-30,116,5800
2009-01-31,134,7650
2009-02-01,121,6100
2009-02-02,159,7336.5195
2009-02-03,136,6650
2009-02-04,121,6050
2009-02-05,126,6300
2009-02-06,134,7648
2009-02-07,124,6200
2009-02-08,129,7400
2009-02-09,139,9100
2009-02-10,127,6350
2009-02-11,124,6650.04
2009-02-12,121,6050
2009-02-13,130,6500
2009-02-14,132,6600
2009-02-15,130,7250
2009-02-16,118,7350
2009-02-17,120,6000
2009-02-18,120,6000
2009-02-19,123,6900
2009-02-20,118,5900
2009-02-21,119,5950
2009-02-22,118,6750
2009-02-23,113,5650
2009-02-24,105,5250
2009-02-25,102,5100
2009-02-26,113,5650
2009-02-27,109,7200
2009-02-28,100,5300
2009-03-01,108,5400
2009-03-02,107,5650
2009-03-03,105,5250
2009-03-04,107,6450
2009-03-05,116,6150
2009-03-06,115,5750
2009-03-07,113,5650
2009-03-08,114,7100
2009-03-09,106,5300
2009-03-10,110,5500
2009-03-11,108,5400
2009-03-12,118,6000
2009-03-13,118,6600
2009-03-14,113,5650
2009-03-15,121,6050
2009-03-16,120,8350
2009-03-17,119,5950
2009-03-18,115,6350
2009-03-19,125,6250
2009-03-20,119,6500
2009-03-21,40,2000
2009-03-22,130,6950
2009-03-23,120,6000
2009-03-24,113,5650
2009-03-25,121,6050
2009-03-26,109,6800
2009-03-27,109,5450
2009-03-28,116,6650
2009-03-29,121,6050
2009-03-30,118,5900
2009-03-31,111,7100
2009-04-01,122,6100
2009-04-02,111,5550
2009-04-03,113,5650
2009-04-04,116,5800
2009-04-05,137,7600
2009-04-06,103,5150
2009-04-07,97,4850
2009-04-08,104,5200
2009-04-09,99,4950
2009-04-10,116,5800
2009-04-11,119,6250
2009-04-12,118,6750
2009-04-13,123,6100
2009-04-14,119,5950
2009-04-15,118,5900
2009-04-16,117,5850
2009-04-17,112,5600
2009-04-18,129,6382.51
2009-04-19,124,8750
2009-04-20,118,9350
2009-04-21,124,6150
2009-04-22,123,6150
2009-04-23,73,3650
2009-04-24,115,5750
2009-04-25,120,6000
2009-04-26,110,6150
2009-04-27,106,5300
2009-04-28,120,6000
2009-04-29,134,7650
2009-04-30,123,6150
2009-05-01,129,6450
2009-05-02,111,6099.94
2009-05-03,127,6210
2009-05-04,132,8050
2009-05-05,136,7250
2009-05-06,130,6500
2009-05-07,122,6100
2009-05-08,107,5350
2009-05-09,59,2950
2009-05-10,100,5000
2009-05-11,127,6350
2009-05-12,130,6500
2009-05-13,120,5800.01
2009-05-14,146,7299.99
2009-05-15,139,7400
2009-05-16,111,5550
2009-05-17,124,6200
2009-05-18,122,6100
2009-05-19,78,3900
2009-05-20,128,6400
2009-05-21,79,3950
2009-05-22,38,1900
2009-05-23,59,2950
2009-05-24,90,4500
2009-05-25,116,5800
2009-05-26,125,6250
2009-05-27,110,5500
2009-05-28,102,5100
2009-05-29,103,8100
2009-05-30,114,5700
2009-05-31,96,4750
2009-06-01,72,3600
2009-06-02,109,5450
2009-06-03,69,3450
2009-06-04,70,3500
2009-06-05,8,400
2009-06-06,28,1400
2009-06-07,35,1750
2009-06-08,79,3950
2009-06-09,88,4400
2009-06-10,89,4450
2009-06-11,90,4500
2009-06-12,84,4200
2009-06-13,80,4000
2009-06-14,68,3400
2009-06-15,86,4300
2009-06-16,66,3300
2009-06-17,86,4300
2009-06-18,80,4000
2009-06-19,82,4100
2009-06-20,79,3950
2009-06-21,78,3900
2009-06-22,80,6950
2009-06-23,74,3700
2009-06-24,104,5198.98
2009-06-25,69,4400
2009-06-26,84,4200
2009-06-27,85,4250
2009-06-28,48,2350
2009-06-29,86,4295
2009-06-30,89,4450
2009-07-01,73,3700
2009-07-02,84,4150
2009-07-03,86,4300
2009-07-04,86,4300
2009-07-05,78,3900
2009-07-06,82,4100
2009-07-07,73,3650
2009-07-08,72,3600
2009-07-09,91,4550
2009-07-10,78,3900
2009-07-11,77,3850
2009-07-12,82,4100
2009-07-13,77,3850
2009-07-14,58,2900
2009-07-15,53,2650
2009-07-16,70,3500
2009-07-17,36,1800
2009-07-18,7,350
2009-07-19,76,3800
2009-07-20,78,9849.67
2009-07-21,77,3850
2009-07-22,60,3000
2009-07-23,82,4100
2009-07-24,69,3450
2009-07-25,18,900
2009-07-26,34,1700
2009-07-27,76,3800
2009-07-28,28,1400
2009-07-29,23,1200
2009-07-30,14,650
2009-07-31,20,1000
2009-08-01,27,1350
2009-08-02,24,1200
2009-08-03,14,700
2009-08-04,92,4600
2009-08-05,91,4550
2009-08-06,83,4150
2009-08-07,85,9699.529
2009-08-08,79,3950
2009-08-09,101,5050
2009-08-10,71,3550
2009-08-11,75,3750
2009-08-12,63,3150
2009-08-13,81,4050
2009-08-14,58,2900
2009-08-15,20,1000
2009-08-16,18,900
2009-08-17,18,900
2009-08-18,10,500
2009-08-19,19,950
2009-08-20,22,1100
2009-08-21,11,550
2009-08-22,8,400
2009-08-23,14,700
2009-08-24,28,1400
2009-08-25,41,2050
2009-08-26,56,4898.0596
2009-08-27,38,1900
2009-08-28,72,3600
2009-08-29,82,4100
2009-08-30,99,4950
2009-08-31,90,4750
2009-09-01,69,3450
2009-09-02,66,3300
2009-09-03,62,3750
2009-09-04,69,3450
2009-09-05,70,3500
2009-09-06,74,3700
2009-09-07,79,4550
2009-09-08,65,3250
2009-09-09,56,2800
2009-09-10,64,3200
2009-09-11,67,3350
2009-09-12,72,3600
2009-09-13,75,3750
2009-09-14,75,3750
2009-09-15,37,1850
2009-09-16,79,3901
2009-09-17,87,9300
2009-09-18,79,3950
2009-09-19,70,3500
2009-09-20,81,4050
2009-09-21,65,3600
2009-09-22,17,2800
2009-09-23,59,2950
2009-09-24,89,4450
2009-09-25,92,5800
2009-09-26,104,5950
2009-09-27,87,4350
2009-09-28,79,4550
2009-09-29,88,5850
2009-09-30,86,4300
2009-10-01,88,4400
2009-10-02,64,3650
2009-10-03,61,3050
2009-10-04,51,2550
2009-10-05,53,2650
2009-10-06,47,3150
2009-10-07,63,3150
2009-10-08,75,3750
2009-10-09,78,3900
2009-10-10,80,4000
2009-10-11,68,8400
2009-10-12,59,2950
2009-10-13,56,2800
2009-10-14,67,3350
2009-10-15,77,3850
2009-10-16,53,12300
2009-10-17,59,2950
2009-10-18,82,4400
2009-10-19,119,5950
2009-10-20,87,9299.88
2009-10-21,84,5049.76
2009-10-22,94,16600
2009-10-23,78,3900
2009-10-24,73,15850
2009-10-25,72,3600
2009-10-26,63,3150
2009-10-27,68,16350
2009-10-28,66,3750
2009-10-29,54,4200
2009-10-30,57,2850
2009-10-31,40,2000
2009-11-01,26,1300
2009-11-02,35,1750
2009-11-03,68,3400
2009-11-04,65,18700
2009-11-05,51,2550
2009-11-06,69,3450
2009-11-07,64,3200
2009-11-08,77,3850
2009-11-09,61,3050
2009-11-10,91,93800
2009-11-11,63,3150
2009-11-12,71,3900
2009-11-13,86,4300
2009-11-14,84,4200
2009-11-15,104,5200
2009-11-16,90,4500
2009-11-17,88,4400
2009-11-18,76,3800
2009-11-19,76,48050
2009-11-20,81,4050
2009-11-21,89,4450
2009-11-22,103,5150
2009-11-23,97,4850
2009-11-24,91,4550
2009-11-25,86,4300
2009-11-26,73,3650
2009-11-27,85,4250
2009-11-28,63,3150
2009-11-29,64,3200
2009-11-30,66,3300
2009-12-01,84,14150
2009-12-02,92,4600
2009-12-03,77,3850
2009-12-04,37,1850
2009-12-05,79,4700
2009-12-06,112,5640
2009-12-07,111,6500
2009-12-08,108,7498
2009-12-09,110,5257
2009-12-10,114,5700
2009-12-11,113,10750
2009-12-12,104,5200
2009-12-13,113,37458.7
2009-12-14,114,11537
2009-12-15,114,6409
2009-12-16,134,6700
2009-12-17,191,9599.5
2009-12-18,232,11600
2009-12-19,188,9400
2009-12-20,185,9250
2009-12-21,163,8150
2009-12-22,167,8350
2009-12-23,157,7850
2009-12-24,152,7600
2009-12-25,145,7200
2009-12-26,176,9000
2009-12-27,164,8200
2009-12-28,140,7000
2009-12-29,176,8800
2009-12-30,136,6800
2009-12-31,132,6600
2010-01-01,125,6250
2010-01-02,136,6800
2010-01-03,207,10350
2010-01-04,186,29954.35
2010-01-05,181,9050
2010-01-06,153,7650
2010-01-07,156,7800
2010-01-08,164,8200
2010-01-09,152,7600
2010-01-10,180,9000
2010-01-11,162,8100
2010-01-12,174,19299.879
2010-01-13,155,7513
2010-01-14,140,7350
2010-01-15,148,7550.74
2010-01-16,118,6101
2010-01-17,135,6750
2010-01-18,123,6100
2010-01-19,121,6050
2010-01-20,170,8500
2010-01-21,187,9288.29
2010-01-22,143,7200
2010-01-23,157,7751
2010-01-24,166,8300
2010-01-25,218,13900
2010-01-26,196,10373
2010-01-27,160,8900
2010-01-28,196,10750
2010-01-29,190,10250
2010-01-30,225,12750
2010-01-31,175,10850
2010-02-01,160,8900
2010-02-02,178,9900
2010-02-03,273,13850
2010-02-04,237,25398.99
2010-02-05,234,12400
2010-02-06,182,9900
2010-02-07,238,11950
2010-02-08,214,17052
2010-02-09,202,30800
2010-02-10,159,38000
2010-02-11,188,18550
2010-02-12,207,12000
