Date,value
2009-01-03,1
2009-01-08,14
2009-01-09,7
2009-01-10,69
2009-01-11,92
2009-01-12,121
2009-01-13,124
2009-01-14,135
2009-01-15,136
2009-01-16,108
2009-01-17,102
2009-01-18,116
2009-01-19,119
2009-01-20,113
2009-01-21,89
2009-01-22,80
2009-01-23,135
2009-01-24,204
2009-01-25,184
2009-01-26,79
2009-01-27,92
2009-01-28,113
2009-01-29,129
2009-01-30,116
2009-01-31,134
2009-02-01,121
2009-02-02,159
2009-02-03,136
2009-02-04,121
2009-02-05,126
2009-02-06,134
2009-02-07,124
2009-02-08,129
2009-02-09,139
2009-02-10,127
2009-02-11,124
2009-02-12,121
2009-02-13,130
2009-02-14,132
2009-02-15,130
2009-02-16,118
2009-02-17,120
2009-02-18,120
2009-02-19,123
2009-02-20,118
2009-02-21,119
2009-02-22,118
2009-02-23,113
2009-02-24,105
2009-02-25,102
2009-02-26,113
2009-02-27,109
2009-02-28,100
2009-03-01,108
2009-03-02,107
2009-03-03,105
2009-03-04,107
2009-03-05,116
2009-03-06,115
2009-03-07,113
2009-03-08,114
2009-03-09,106
2009-03-10,110
2009-03-11,108
2009-03-12,118
2009-03-13,118
2009-03-14,113
2009-03-15,121
2009-03-16,120
2009-03-17,119
2009-03-18,115
2009-03-19,125
2009-03-20,119
2009-03-21,40
2009-03-22,130
2009-03-23,120
2009-03-24,113
2009-03-25,121
2009-03-26,109
2009-03-27,109
2009-03-28,116
2009-03-29,121
2009-03-30,118
2009-03-31,111
2009-04-01,122
2009-04-02,111
2009-04-03,113
2009-04-04,116
2009-04-05,137
2009-04-06,103
2009-04-07,97
2009-04-08,104
2009-04-09,99
2009-04-10,116
2009-04-11,119
2009-04-12,118
2009-04-13,123
2009-04-14,119
2009-04-15,118
2009-04-16,117
2009-04-17,112
2009-04-18,129
2009-04-19,124
2009-04-20,118
2009-04-21,124
2009-04-22,123
2009-04-23,73
2009-04-24,115
2009-04-25,120
2009-04-26,110
2009-04-27,106
2009-04-28,120
2009-04-29,134
2009-04-30,123
2009-05-01,129
2009-05-02,111
2009-05-03,127
2009-05-04,132
2009-05-05,136
2009-05-06,130
2009-05-07,122
2009-05-08,107
2009-05-09,59
2009-05-10,100
2009-05-11,127
2009-05-12,130
2009-05-13,120
2009-05-14,146
2009-05-15,139
2009-05-16,111
2009-05-17,124
2009-05-18,122
2009-05-19,78
2009-05-20,128
2009-05-21,79
2009-05-22,38
2009-05-23,59
2009-05-24,90
2009-05-25,116
2009-05-26,125
2009-05-27,110
2009-05-28,102
2009-05-29,103
2009-05-30,114
2009-05-31,96
2009-06-01,72
2009-06-02,109
2009-06-03,69
2009-06-04,70
2009-06-05,8
2009-06-06,28
2009-06-07,35
2009-06-08,79
2009-06-09,88
2009-06-10,89
2009-06-11,90
2009-06-12,84
2009-06-13,80
2009-06-14,68
2009-06-15,86
2009-06-16,66
2009-06-17,86
2009-06-18,80
2009-06-19,82
2009-06-20,79
2009-06-21,78
2009-06-22,80
2009-06-23,74
2009-06-24,104
2009-06-25,69
2009-06-26,84
2009-06-27,85
2009-06-28,48
2009-06-29,86
2009-06-30,89
2009-07-01,73
2009-07-02,84
2009-07-03,86
2009-07-04,86
2009-07-05,78
2009-07-06,82
2009-07-07,73
2009-07-08,72
2009-07-09,91
2009-07-10,78
2009-07-11,77
2009-07-12,82
2009-07-13,77
2009-07-14,58
2009-07-15,53
2009-07-16,70
2009-07-17,36
2009-07-18,7
2009-07-19,76
2009-07-20,78
2009-07-21,77
2009-07-22,60
2009-07-23,82
2009-07-24,69
2009-07-25,18
2009-07-26,34
2009-07-27,76
2009-07-28,28
2009-07-29,23
2009-07-30,14
2009-07-31,20
2009-08-01,27
2009-08-02,24
2009-08-03,14
2009-08-04,92
2009-08-05,91
2009-08-06,83
2009-08-07,85
2009-08-08,79
2009-08-09,101
2009-08-10,71
2009-08-11,75
2009-08-12,63
2009-08-13,81
2009-08-14,58
2009-08-15,20
2009-08-16,18
2009-08-17,18
2009-08-18,10
2009-08-19,19
2009-08-20,22
2009-08-21,11
2009-08-22,8
2009-08-23,14
2009-08-24,28
2009-08-25,41
2009-08-26,56
2009-08-27,38
2009-08-28,72
2009-08-29,82
2009-08-30,99
2009-08-31,90
2009-09-01,69
2009-09-02,66
2009-09-03,62
2009-09-04,69
2009-09-05,70
2009-09-06,74
2009-09-07,79
2009-09-08,65
2009-09-09,56
2009-09-10,64
2009-09-11,67
2009-09-12,72
2009-09-13,75
2009-09-14,75
2009-09-15,37
2009-09-16,79
2009-09-17,87
2009-09-18,79
2009-09-19,70
2009-09-20,81
2009-09-21,65
2009-09-22,17
2009-09-23,59
2009-09-24,89
2009-09-25,92
2009-09-26,104
2009-09-27,87
2009-09-28,79
2009-09-29,88
2009-09-30,86
2009-10-01,88
2009-10-02,64
2009-10-03,61
2009-10-04,51
2009-10-05,53
2009-10-06,47
2009-10-07,63
2009-10-08,75
2009-10-09,78
2009-10-10,80
2009-10-11,68
2009-10-12,59
2009-10-13,56
2009-10-14,67
2009-10-15,77
2009-10-16,53
2009-10-17,59
2009-10-18,82
2009-10-19,119
2009-10-20,87
2009-10-21,84
2009-10-22,94
2009-10-23,78
2009-10-24,73
2009-10-25,72
2009-10-26,63
2009-10-27,68
2009-10-28,66
2009-10-29,54
2009-10-30,57
2009-10-31,40
2009-11-01,26
2009-11-02,35
2009-11-03,68
2009-11-04,65
2009-11-05,51
2009-11-06,69
2009-11-07,64
2009-11-08,77
2009-11-09,61
2009-11-10,91
2009-11-11,63
2009-11-12,71
2009-11-13,86
2009-11-14,84
2009-11-15,104
2009-11-16,90
2009-11-17,88
2009-11-18,76
2009-11-19,76
2009-11-20,81
2009-11-21,89
2009-11-22,103
2009-11-23,97
2009-11-24,91
2009-11-25,86
2009-11-26,73
2009-11-27,85
2009-11-28,63
2009-11-29,64
2009-11-30,66
