year,count
1954,257
1955,26746
1956,1262
1957,91
1958,21
1965,4
1980,7
2006,363
2007,180
2008,121
2009,53
2010,634
2011,261
1964,11
1965,21422
1966,5440
1980,14
1982,1
1985,1
1988,1
2002,110
2003,1
2004,19
2005,24
2006,401
2007,212
2008,132
2009,102
2010,1654
2011,455
1975,20487
1976,311
1977,942
1978,1130
1979,839
1980,248
1981,27
1982,55
1983,13
1984,29
1985,16
1986,11
1987,77
1988,31
1989,246
1990,179
1991,27
1992,60
1993,30
1994,30
1995,80
1997,26
1999,2
2000,22
2002,81
2005,180
2006,12
2007,131
2008,218
2009,109
2010,3258
2011,334
2012,157
2013,153
2014,449
1984,208
1985,13916
1986,3703
1987,1107
1988,526
1989,349
1990,384
1991,42
1992,77
1993,4
1994,19
1995,12
1996,22
1997,60
1998,97
1999,91
2000,14
2002,3
2003,23
2004,157
2005,202
2006,285
2007,148
2008,1466
2009,388
2010,3642
2011,755
2012,539
2013,1189
2014,572
1994,114
1995,25105
1996,1159
1997,419
1998,231
1999,89
2000,411
2001,256
2002,511
2003,265
2004,716
2013,165
2014,559
1999,13098
2000,2669
2004,257
2005,1647
2006,974
2007,1451
2008,3014
2009,865
2010,1398
2011,2893
2012,1086
2013,308
2014,340
2006,5383
2007,9758
2008,4677
2009,3546
2010,1719
2011,2150
2012,1661
2013,693
2014,413
2013,4020
2014,25980
