x,y
353.2,428
353.1,422.3
349.1,418.5
352.6,420.8
353,421.5
352.3,426.6
360,428.5
349.6,425
356.9,425.7
348.5,418.3
356.2,425.6
359,417.4
359.6,412.9
351.7,428.3
355.1,423.4
359.4,417
359.2,427.4
354.5,422.7
354.1,422
352.2,428.5
348.8,425.9
360.3,413.8
354,425.2
356.6,426
355.6,418.3
359.6,419.5
352.1,417
357.8,423
352.7,426.7
350.8,425.4
355.2,421.7
355.6,427.5
358.7,416.6
358,417.3
359,417.4
351.6,428.2
358.5,417.6
359.4,418.4
353.2,427
356.8,426.4
348,425.8
353.3,415.3
358.2,416.4
357.1,416.4
351.9,421.6
351.1,425.6
354,422.6
354.4,426.1
355.2,419.2
354.2,425.3
356.2,425.9
355.9,423.9
352.9,427.3
356.7,413.5
355.6,413.9
355.5,413.9
355.7,413.9
355.6,414.1
359,417.3
353.1,426.9
353.4,422.5
359,417.6
357.8,416.2
353.2,427
355,421.8
354.5,422.1
355.1,414.3
362.5,421.4
356,426.8
354.1,422.2
358,417.2
360.9,422.4
352.3,421.6
356.3,426
353.2,427.2
359.4,417.4
351.4,417.5
358.7,416.1
355.9,427.2
353.7,422.8
357.8,423.2
353.6,427
348.2,426.2
353.3,422.6
355.3,424.7
354.9,422.7
356,426.9
358.3,419.6
353.9,421.9
360.9,414.4
354.1,422
360.4,427.1
359.3,427.3
358.2,416.3
358.3,418.2
360.4,413.4
353.4,427.2
358.1,417
361,413.9
360.6,413.4
356.3,426.9
358.2,416.7
355.8,422.4
347.8,425.6
358,416.9
352.2,428.5
351,425.2
359.9,419.1
356.2,426.7
354.5,422.7
358,421.4
356.4,426.3
359.4,417.1
357.3,416.3
353.7,422.5
358.1,416.8
356.3,426
351.2,427.8
351.3,427.6
359.1,418
359.1,418.3
356,418.3
354.1,422
352,422.2
351.3,427.6
355.6,427.8
350.9,425.1
361.4,430.3
347.8,424.8
347.9,424.1
358.3,416.5
358.4,418.9
355.4,412.7
354.8,422.6
348,424
354.7,425.7
352.9,422.4
356.4,426
356.4,426.2
359.1,426.8
357.8,425.8
350.8,427.7
354.8,425.6
353.7,422.5
358,422.2
357.6,427.5
358,417.3
360.6,414
351.9,422
359.7,412.9
358.2,415.7
356.9,427
356.7,425.1
356.2,418.5
354.3,421.8
359.4,418.3
353.3,427.8
358,427.1
355.6,426.8
353.3,422.6
357.1,416.4
358.3,417.5
353.7,422.4
348.1,426.1
358.1,416.6
351.8,423.3
355.8,427.3
357.1,426.6
356.2,418.5
355.2,419.3
353.9,418.4
362.9,421.5
360,412.8
359,418
358.1,416.5
357.8,416.2
352,417.3
354,422.3
362.3,421.6
347.9,424.1
355.1,423.3
357.7,417.3
358.3,420
352.4,421.5
352.5,421.1
356.3,426
356.3,426
348.4,424.3
356.2,425.9
353.1,428
356.2,414.5
362.5,421.3
355.2,421.7
354.3,422.3
355.9,419.9
349,419.1
355.9,427.2
352.4,421.9
354,422.3
360.3,413.9
352,428.6
359.7,413
357.8,416.2
356.3,428.2
358,417.6
351.1,425.6
358.5,417.4
362.5,421.6
358.9,426.2
357.5,417.1
349,425.8
354.2,425.7
358.2,416.1
358.4,416.5
352.9,426.8
354.8,423.1
357.6,416.3
357.5,416.1
354.3,422.6
355.6,427.8
348.4,418.3
356.8,426.5
351.9,427.6
358.4,418
359.4,427.4
357.6,417.9
348.1,426.1
353.9,421.8
359.5,417.3
347.3,425
355.4,418.1
350.8,425.7
351,425
355.8,427.4
353.1,427
356.9,426.5
353.7,422.8
363.2,422.3
356.6,426.3
351.8,428.9
351.1,424.9
353.1,422.6
359.2,426.8
352.8,422
352.5,421.5
355.9,428.2
355.3,419.7
355.1,423.2
357,414.4
354.6,417.4
359.1,418.3
349.9,427
359.1,427.5
351.4,428.6
353.3,421.3
354.6,421.6
353.1,421.6
355.8,426.2
352.4,426.6
354.6,421.8
352.5,427.2
351.2,427.5
352.6,428.2
360.9,422.4
357.9,417.1
355.1,423
359,417.7
355,423
359,416.6
358,417.2
359.2,417.8
360.9,413.5
356.2,426.9
358.6,417.8
348.2,426.5
358.4,418.9
353.1,422.8
355.5,413.9
350.8,427.7
348.4,424.3
352.2,428.5
359,417.5
359.1,422.3
352.2,428.5
352.7,421.9
347.9,425.1
356.8,426.4
349.1,418.5
359,417.2
360.2,421.3
362.6,427.2
356.2,414.1
358,417.6
359,417.2
360.1,413.2
358.7,413.4
356.5,414
351.8,428
348.8,418.9
359.2,417.8
352.5,421.1
352.3,427.6
355.6,427.1
360.4,413.8
355.1,423
352.7,426.9
356.1,426
355,421.6
352.6,426.5
358.4,417.8
354.5,426.1
355.8,427.3
356.4,414.2
351.4,428.6
360,412.6
358.3,418.2
353.2,427.7
354.6,422.8
357.2,416.2
358.5,427.3
358.2,417.2
358.7,416.1
354.3,425.8
353.3,422.5
352.3,425.4
358.1,416.5
355.7,427.6
360,419.2
352.4,421.9
346.9,422.5
348.5,426
357.9,422.3
355.7,423.3
351,425
358.2,420.2
355.9,426.5
359.6,414
356.6,425.7
355.6,428.4
351.2,422.7
356.7,414.5
357.6,416.3
356.7,425.7
350.9,427.8
354.5,425.6
357.9,416.4
354.9,421.8
361,414
352.5,426.6
356.7,414.6
353.2,414.4
355.6,427.3
356.6,414.5
354.3,422.6
351.9,421.6
349.7,426.5
349.4,427.2
358.5,427.3
358.3,416.7
358.2,416.1
358.5,418.7
357.7,417
357.6,413.4
358,422.2
357.8,417.5
355,423
352.1,417
351.8,428.2
349.8,426.9
355.8,428.2
357.6,416.3
359,417.7
351.4,418.4
356.4,414.4
359.3,418.3
359.5,419.8
359,418.2
358.8,417.3
353.3,422.6
357.9,421.1
358.8,418.5
356.2,425.9
355.2,419.4
352.2,417.3
352.4,421.9
359.1,427.4
352.3,416.7
351.8,417.1
358.5,417
356.2,418.5
358.1,416.6
355.2,419.2
350.9,425.9
355.8,422.1
355.2,417.9
354.7,425.9
356.6,425.8
360.6,414
358,417.2
359.3,417.2
358.5,417.1
355.7,426.7
353.5,427.3
358.7,416.6
358,417.3
353.2,427.2
360.2,413.1
358.1,416.5
355.8,423.5
359.2,417.9
359.2,416.5
348.3,425.8
358.1,421
352,427.7
359.4,417.4
351.7,428.2
358,422.2
362.6,427.2
350.7,419.9
358.1,418.5
355.8,422.4
351.5,428.7
352.1,416.8
352.7,421.8
357.7,421.9
353.6,422.6
352.5,428.2
355,415.8
358,417.2
354.7,425.7
351.9,417.2
354.5,422.7
360.2,413.9
348.5,423.8
358.9,426.8
354.3,426.1
358.9,417.6
356.3,425.6
350.9,427.8
355.2,423
356.1,414.2
351.1,427.6
358.1,417
361.4,414.7
353.1,421.2
353.9,421.9
356,426.4
356.4,425.2
358.3,419.3
355.8,427.4
357.4,416.2
349.9,426.8
354.1,420
361,414
358,420.5
356.4,425.9
356.4,425.2
354,422.6
352.9,421.3
358.1,422
358.1,418.5
350.7,427.7
358.2,427.3
359,417.2
360.4,413.2
359.1,426.3
352.3,416.7
358.1,417
362.3,421
354.4,426.1
356.7,413.5
349.7,423.7
359.1,418.1
355.3,422.8
353.7,422.8
357.8,416.9
358.2,416.1
351.1,427.6
360.1,413.2
359,417.2
352.7,426.7
360.2,413.1
352.9,421.2
354.3,422.2
357.9,416.5
348,424
347.6,420.9
357.5,417
353.3,427.1
354.7,421.9
354.6,425.6
357.7,417.7
352.6,426.8
350,425.7
358.3,418.2
354.3,421.5
356.3,414.2
353.2,415
359.7,413
356.8,425.6
358.3,416.6
354.2,425.6
358,427.5
362.5,421.4
352.6,427.4
353.1,428
358.6,417
355.7,426.7
359.7,413
357.4,417.1
354.2,421.9
364.1,422.6
358.6,416.6
354.8,422.3
356,426.7
358.5,418.1
355.2,419.6
353.2,427.9
353,421.5
354.5,422.5
359,417.7
350.9,425.8
354.8,423.1
358.8,418.3
347.2,423.3
352.7,426.9
356.7,414.4
348.8,425.9
357.8,427.7
356.7,414.5
355.2,419.2
351,427.7
353.6,421.7
353.8,422.5
352.5,416.7
358.2,427.1
350.7,425.5
358,417.2
354.6,423.2
359.7,413
355,422
351.8,428.1
355.5,413.8
355,422
357.1,417.2
360,413.7
362.9,421.5
354.1,422
355.7,419.2
354.1,416.6
359.1,417.5
358.8,420.4
360.9,413.8
352.3,425.4
351.9,428.7
356,426.8
351.4,428.1
348.9,419.2
351.7,428.7
359,426.4
358.5,417.6
351.8,428
358.1,416.7
356.3,418.6
353.3,428
352.5,426.9
353.5,427
350.9,427.8
358,417.2
355.9,427.2
355.1,426
352.1,427.3
353,421.5
358.2,417.3
358.6,416.6
355.7,426.8
360,413.7
352.8,426.9
351.2,425
352.8,422
360.2,421.3
353.3,421.6
358.3,419.3
358,417.3
347.7,425.7
356.6,426.4
358.2,416.3
353.3,427.1
355.6,427.3
353.2,427.9
351.4,426
349,424.3
359.7,412.9
355.9,427.2
358.1,417
359.2,426.1
352.4,421.9
359.6,412.8
358.1,416.8
350.8,425.5
352.3,427.1
356.5,414
356.2,425.3
358,413.6
351.8,428.9
352.8,421.8
348.7,418.5
356.5,425.9
353.7,422.5
359.6,412.9
356.5,427
355.5,418.8
353,422.4
351.7,428
357.9,422.8
358.3,418.4
358.1,421.8
353.6,426.9
356.6,426.8
352.5,426.6
351.7,421.6
353,426.3
357.6,416.6
352,417.3
351.6,428
353.4,422.6
355,422.2
355.1,423.2
359.5,417
358.7,417.8
347.5,423.3
352.7,426.7
352.1,427.7
360.2,413.7
364.1,422.6
359.4,417.2
352.7,421.7
352,417.2
358.6,426.8
358.3,415.8
359.2,417.5
354.7,425.9
356.5,426
355.6,418.3
359.6,412.9
359.2,418.8
359.5,417.3
357.9,417.9
357.8,427.4
354.5,422.6
348.2,426.2
358.6,426.8
356.3,426.9
352.2,428.3
351.7,421.6
357.8,423
353.1,422.2
354.6,422
358.3,417.9
353.1,427.1
355.1,414.3
355.7,428
