R,G,B,CL
70,89,85,5
72,90,86,5
74,92,88,5
72,89,86,5
71,86,84,5
72,90,86,5
73,91,87,5
74,92,88,5
73,90,86,5
72,87,84,5
73,92,87,5
74,92,87,5
74,91,87,5
74,90,86,5
73,88,85,5
72,91,86,5
73,92,86,5
74,92,87,5
73,90,86,5
72,89,86,5
71,90,84,5
72,91,86,5
74,92,87,5
73,91,86,5
72,90,86,5
72,91,82,5
73,92,83,5
75,94,86,5
77,96,88,5
76,96,88,5
72,92,82,5
72,92,83,5
73,92,84,5
74,93,85,5
74,94,88,5
72,92,84,5
71,91,83,5
70,90,82,5
70,90,82,5
72,93,86,5
72,92,85,5
72,93,85,5
72,92,84,5
72,92,83,5
72,92,84,5
73,94,86,5
74,95,87,5
74,94,86,5
73,93,84,5
71,91,84,5
69,88,88,5
67,87,86,5
65,86,85,5
69,90,88,5
73,94,92,5
67,86,86,5
66,86,86,5
66,87,86,5
68,89,87,5
70,91,88,5
65,85,83,5
66,86,84,5
66,88,86,5
66,88,86,5
66,88,85,5
64,85,82,5
65,86,84,5
66,88,86,5
67,89,86,5
68,90,87,5
64,85,82,5
65,86,84,5
66,88,86,5
68,90,88,5
71,92,89,5
66,88,82,4
70,92,86,4
75,96,90,4
76,97,92,4
76,98,93,4
65,88,82,4
67,90,84,4
69,91,85,4
72,94,88,4
74,97,91,4
72,96,89,4
70,94,87,4
68,92,85,4
68,92,86,4
68,92,86,4
78,103,96,4
72,98,90,4
67,92,85,4
64,90,82,4
62,88,80,4
76,102,94,4
71,96,89,4
66,91,84,4
66,92,84,4
67,93,85,4
72,94,83,4
69,91,82,4
66,88,82,4
61,84,80,4
56,81,79,4
75,96,85,4
70,92,83,4
65,88,81,4
62,86,81,4
59,83,81,4
71,92,82,4
64,87,78,4
70,94,86,4
64,88,83,4
58,82,80,4
67,89,78,4
60,83,73,4
75,99,91,4
66,90,85,4
57,82,79,4
68,90,80,4
66,88,80,4
76,98,92,4
68,92,87,4
61,85,82,4
72,97,88,4
71,96,88,4
70,96,88,4
70,96,88,4
62,88,81,4
76,102,91,4
73,99,88,4
76,102,91,4
78,104,94,4
70,96,87,4
80,108,94,4
75,102,89,4
80,107,95,4
86,112,101,4
78,104,94,4
87,114,100,4
96,123,109,4
105,132,118,4
102,128,116,4
88,114,102,4
82,110,94,4
95,121,106,4
107,133,118,4
96,122,108,4
87,112,100,4
76,100,91,4
68,92,84,4
73,95,90,4
78,98,95,4
72,92,90,4
77,100,92,4
71,95,86,4
74,98,91,4
78,100,96,4
75,96,94,4
78,102,92,4
74,98,89,4
76,100,93,4
79,102,97,4
78,100,97,4
82,106,96,4
80,104,95,4
79,103,96,4
78,102,96,4
74,98,93,4
85,109,100,4
86,110,101,4
82,106,98,4
78,101,95,4
71,94,89,4
154,150,126,3
154,151,127,3
155,152,128,3
154,151,128,3
154,150,128,3
155,150,126,3
156,152,128,3
157,153,129,3
156,152,128,3
154,150,128,3
154,148,125,3
154,148,126,3
154,149,126,3
153,148,126,3
152,148,127,3
152,147,124,3
151,146,123,3
150,145,122,3
150,146,124,3
151,147,126,3
151,146,122,3
152,146,122,3
152,146,122,3
152,146,124,3
151,147,125,3
94,108,99,3
98,112,103,3
103,117,107,3
109,122,110,3
115,127,113,3
94,108,98,3
100,114,103,3
105,119,108,3
108,121,108,3
111,123,109,3
93,109,98,3
100,115,104,3
107,121,109,3
107,120,107,3
107,119,105,3
92,108,96,3
98,113,101,3
105,118,106,3
106,118,105,3
106,118,104,3
90,107,95,3
96,111,99,3
103,115,103,3
104,116,103,3
106,117,103,3
108,118,103,3
107,117,102,3
107,116,102,3
107,115,101,3
110,118,104,3
106,118,102,3
106,117,102,3
106,116,102,3
106,116,101,3
108,118,104,3
105,116,102,3
106,117,102,3
106,116,102,3
106,116,101,3
108,118,102,3
106,118,102,3
106,118,102,3
105,116,101,3
104,115,100,3
105,116,101,3
106,118,103,3
106,118,102,3
104,116,100,3
103,114,98,3
104,114,98,3
90,115,100,3
86,110,96,3
82,106,91,3
83,108,94,3
84,110,96,3
91,116,100,3
89,114,98,3
87,112,96,3
86,112,96,3
86,112,97,3
92,118,100,3
