R,G,B,CL
73,90,85,5
74,90,84,5
74,90,83,5
74,91,82,5
73,90,82,5
72,90,84,5
72,89,83,5
73,90,82,5
74,91,82,5
72,89,81,5
72,88,84,5
70,86,81,5
71,87,80,5
72,88,80,5
73,89,82,5
71,88,84,5
67,84,79,5
68,85,79,5
69,86,79,5
72,89,82,5
73,90,88,5
70,87,84,5
70,88,83,5
70,88,82,5
72,89,84,5
65,83,82,5
66,84,82,5
65,82,80,5
64,80,78,5
66,81,80,5
66,83,82,5
68,84,83,5
66,82,80,5
65,80,78,5
66,81,80,5
64,80,78,5
64,79,78,5
64,80,78,5
64,80,78,5
64,80,78,5
62,76,76,5
60,74,74,5
62,76,76,5
64,79,78,5
63,78,78,5
63,77,77,5
62,76,76,5
64,78,78,5
66,80,79,5
64,78,78,5
74,92,86,4
74,92,86,4
76,94,88,4
66,83,78,4
68,86,81,4
77,94,89,4
74,91,86,4
70,88,82,4
67,85,79,4
74,94,86,4
78,96,90,4
75,93,86,4
74,92,85,4
73,92,84,4
76,96,87,4
80,98,90,4
76,95,87,4
78,98,88,4
79,100,90,4
76,98,88,4
81,101,92,4
78,100,89,4
77,100,88,4
76,100,87,4
75,98,88,4
78,107,95,4
68,98,85,4
69,99,86,4
70,100,86,4
64,94,82,4
71,100,89,4
64,94,82,4
65,95,82,4
66,96,83,4
64,94,82,4
66,96,86,4
68,98,88,4
66,97,86,4
65,96,84,4
66,96,86,4
72,102,93,4
73,103,94,4
68,99,90,4
64,95,85,4
66,97,88,4
76,106,96,4
76,106,97,4
72,102,94,4
68,98,90,4
69,99,92,4
86,103,94,4
79,96,90,4
78,94,89,4
77,93,88,4
78,94,89,4
93,112,102,4
90,109,101,4
84,104,96,4
67,86,79,4
66,85,78,4
90,110,98,4
80,100,90,4
92,113,103,4
82,103,95,4
67,88,81,4
93,114,100,4
78,100,88,4
97,120,109,4
104,127,118,4
80,104,96,4
84,107,92,4
78,101,87,4
91,114,102,4
104,128,117,4
83,108,98,4
53,78,76,4
54,78,76,4
56,77,77,4
51,71,71,4
68,88,86,4
56,80,78,4
55,78,77,4
54,76,76,4
56,78,77,4
71,92,90,4
58,83,81,4
55,78,77,4
52,73,73,4
64,84,84,4
75,96,94,4
52,76,74,4
52,75,74,4
52,74,74,4
62,84,83,4
72,93,92,4
46,70,68,4
49,72,71,4
52,74,74,4
62,82,82,4
71,91,90,4
148,144,126,3
148,143,125,3
147,142,124,3
146,141,123,3
146,140,122,3
149,145,128,3
148,144,126,3
146,142,124,3
146,142,123,3
145,141,122,3
148,145,128,3
148,146,128,3
149,146,127,3
146,144,124,3
144,141,122,3
148,145,128,3
150,147,129,3
152,149,130,3
148,145,126,3
143,141,121,3
147,144,127,3
148,146,128,3
150,148,128,3
147,145,124,3
144,142,121,3
114,130,112,3
110,126,110,3
106,122,108,3
104,119,106,3
101,116,103,3
115,130,111,3
112,127,110,3
108,124,110,3
108,123,110,3
107,122,109,3
110,124,106,3
108,122,106,3
105,120,106,3
106,121,107,3
106,122,108,3
104,118,102,3
103,118,102,3
102,117,103,3
104,120,106,3
107,122,108,3
103,118,103,3
102,118,103,3
102,117,103,3
104,118,104,3
105,120,105,3
130,136,116,3
129,134,115,3
130,135,116,3
130,136,118,3
130,136,117,3
132,138,118,3
132,137,118,3
130,134,116,3
127,132,114,3
126,131,112,3
132,136,117,3
132,136,118,3
131,135,117,3
130,134,116,3
131,135,116,3
131,135,116,3
132,135,117,3
132,135,118,3
133,135,118,3
136,138,120,3
132,136,116,3
131,134,115,3
132,134,116,3
132,134,116,3
134,137,119,3
89,118,101,3
86,114,98,3
82,110,94,3
81,108,93,3
80,105,92,3
90,119,102,3
86,114,98,3
82,110,94,3
82,108,93,3
82,106,92,3
90,119,102,3
88,116,100,3
86,114,98,3
85,111,96,3
84,108,94,3
89,119,101,3
89,118,101,3
89,118,101,3
87,114,99,3
85,111,97,3
88,118,99,3
89,119,100,3
90,120,102,3
88,116,99,3
85,111,96,3
100,112,103,3
104,116,106,3
109,119,109,3
109,118,107,3
109,116,105,3
102,114,104,3
104,115,105,3
106,116,106,3
107,115,104,3
108,114,103,3
103,115,105,3
103,114,104,3
103,113,102,3
104,112,102,3
106,112,101,3
106,118,106,3
108,118,106,3
110,119,106,3
112,120,107,3
115,120,108,3
110,121,106,3
114,123,108,3
117,125,110,3
120,127,112,3
124,129,115,3
138,141,120,3
137,140,119,3
138,142,120,3
140,143,122,3
140,144,123,3
136,140,118,3
135,139,117,3
137,141,120,3
139,143,122,3
140,144,122,3
132,137,116,3
130,135,114,3
134,138,118,3
138,142,122,3
139,143,123,3
129,134,114,3
126,131,111,3
132,136,116,3
138,142,122,3
140,144,124,3
131,137,118,3
130,136,116,3
132,138,118,3
135,140,120,3
138,142,122,3
120,128,108,3
121,130,110,3
122,132,112,3
119,130,110,3
116,128,107,3
120,128,108,3
120,129,109,3
120,130,110,3
118,129,108,3
116,128,106,3
121,129,109,3
119,128,108,3
117,127,107,3
116,128,106,3
116,128,106,3
125,132,113,3
124,131,112,3
122,130,110,3
119,128,107,3
116,126,104,3
129,136,117,3
128,135,116,3
126,134,114,3
120,130,108,3
115,125,103,3
181,181,166,2
184,183,168,2
186,185,170,2
186,185,170,2
186,185,170,2
184,183,167,2
186,184,169,2
188,186,171,2
186,185,170,2
184,184,169,2
187,185,168,2
188,186,170,2
189,188,172,2
186,186,170,2
183,183,168,2
186,184,168,2
188,186,170,2
190,188,173,2
186,185,170,2
182,182,168,2
185,184,167,2
188,186,170,2
190,188,174,2
186,184,171,2
182,181,168,2
206,208,186,2
206,208,186,2
206,208,185,2
205,207,184,2
204,206,183,2
208,208,187,2
208,208,188,2
208,208,187,2
208,208,186,2
207,208,185,2
209,208,188,2
210,209,190,2
210,209,189,2
210,209,188,2
210,209,186,2
209,210,188,2
210,210,190,2
210,210,189,2
210,210,188,2
209,210,187,2
209,210,188,2
210,210,190,2
210,210,189,2
209,210,188,2
208,210,188,2
192,194,176,2
190,192,174,2
188,190,172,2
194,196,176,2
199,201,180,2
190,192,174,2
190,192,174,2
190,192,173,2
193,195,174,2
196,198,176,2
188,190,172,2
190,192,173,2
192,193,174,2
192,194,174,2
193,195,173,2
191,192,175,2
191,192,174,2
191,192,174,2
192,192,173,2
192,193,172,2
194,195,178,2
192,194,176,2
190,192,173,2
190,192,172,2
190,191,171,2
183,184,167,2
184,186,168,2
186,189,170,2
187,190,172,2
188,190,175,2
184,184,168,2
186,186,170,2
187,189,171,2
190,192,174,2
192,194,178,2
187,186,172,2
188,189,174,2
190,192,175,2
190,192,176,2
190,192,176,2
190,188,175,2
192,191,177,2
193,194,179,2
191,192,176,2
189,190,174,2
188,186,174,2
190,190,176,2
193,194,178,2
192,193,177,2
192,192,176,2
206,210,190,2
206,209,189,2
205,208,188,2
204,207,187,2
204,206,186,2
208,211,193,2
207,210,192,2
206,208,190,2
204,207,188,2
203,206,187,2
208,210,192,2
207,209,190,2
206,208,188,2
204,206,187,2
202,205,186,2
209,210,190,2
208,208,188,2
206,207,187,2
204,206,186,2
202,204,184,2
210,210,188,2
208,209,188,2
207,208,187,2
206,207,186,2
204,206,186,2
206,209,188,2
207,209,188,2
208,210,189,2
208,211,190,2
206,210,188,2
208,211,188,2
210,212,190,2
210,212,191,2
210,213,192,2
208,212,191,2
209,213,190,2
212,215,193,2
212,215,194,2
211,215,195,2
208,213,194,2
208,212,188,2
210,213,190,2
210,214,193,2
