CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,0.85714286,0.85365854,0.0,0.0,0.625,1.0,0.0,0.71428571,24.0
2,0.66666667,0.66666667,0.0,0.0,0.14285714,1.0,0.0,0.5,14.0
3,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0
4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
6,0.65454545,0.69955157,0.0,0.0,0.54545455,1.0,0.0,0.4,36.0
7,0.95238095,0.94736842,0.0,0.0,0.71428571,1.0,0.0,0.83333333,20.0
8,0.76190476,0.92307692,0.2195122,0.28571429,0.14285714,0.85714286,0.00025776,0.16666667,1.77777778
9,0.9047619,0.90697674,0.0,0.0,0.57142857,1.0,0.0,0.66666667,19.0
10,0.75,0.7755102,0.0,0.0,0.44444444,1.0,0.0,0.5,27.0
11,0.7,0.6,0.0,0.0,0.0,1.0,0.0,0.5,7.0
12,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
13,0.61818182,0.68571429,0.0,0.0,0.54545455,1.0,0.0,0.3,34.0
14,0.93333333,0.92307692,0.0,0.0,0.0,1.0,0.0,0.8,14.0
15,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
16,0.7,0.64285714,0.0,0.0,0.0,1.0,0.0,0.5,7.0
17,0.80952381,0.82608696,0.0,0.0,0.28571429,1.0,0.0,0.5,17.0
18,0.51515152,0.56521739,0.18072289,0.0,0.33333333,1.0,0.00025085,0.27272727,2.26666667
19,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0
20,1.0,1.0,0.09090909,0.0,0.0,1.0,8.016e-05,1.0,5.0
21,0.72727273,0.76923077,0.0,0.0,0.72727273,1.0,0.0,0.5,40.0
22,0.77777778,0.75,0.0,0.0,0.66666667,1.0,0.0,0.625,28.0
23,0.6,0.66923077,0.05263158,0.0,0.6,1.0,6.018e-05,0.22222222,9.0
24,0.78571429,0.79245283,0.0,0.0,0.5,1.0,0.0,0.57142857,22.0
25,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
26,0.8,0.84615385,0.0,0.0,0.0,1.0,0.0,0.4,12.0
27,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
28,0.93333333,0.92307692,0.0,0.0,0.0,1.0,0.0,0.8,14.0
29,0.95238095,0.94736842,0.0,0.0,0.71428571,1.0,0.0,0.83333333,20.0
30,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0
31,0.85714286,0.82894737,0.02702703,0.0,0.28571429,1.0,2.864e-05,0.66666667,18.0
32,0.80555556,0.8313253,0.0,0.0,0.66666667,1.0,0.0,0.5,29.0
33,0.77777778,0.78440367,0.0,0.0,0.9,1.0,0.0,0.55555556,35.0
34,0.62222222,0.6971831,0.0,0.0,0.5,1.0,0.0,0.33333333,28.0
