CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,0.85714286,0.85365854,0.0,0.0,0.625,1.0,0.0,0.71428571,24.0
2,0.8,0.78947368,0.23809524,0.0,0.0,1.0,0.0004008,0.5,1.6
3,0.66666667,0.66666667,0.0,0.0,0.14285714,1.0,0.0,0.5,14.0
4,0.83333333,0.75,0.58333333,0.5,0.0,1.0,0.00140224,0.66666667,0.35714286
5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
6,0.95238095,0.94736842,0.0,0.0,0.71428571,1.0,0.0,0.83333333,20.0
7,0.53030303,0.6119403,0.20454545,0.0,0.41666667,1.0,0.00060289,0.18181818,1.94444444
8,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
9,0.9047619,0.90697674,0.0,0.0,0.57142857,1.0,0.0,0.66666667,19.0
10,0.75,0.7755102,0.0,0.0,0.44444444,1.0,0.0,0.5,27.0
11,0.7,0.6,0.0,0.0,0.0,1.0,0.0,0.5,7.0
12,0.61818182,0.68571429,0.0,0.0,0.54545455,1.0,0.0,0.3,34.0
13,0.93333333,0.92307692,0.0,0.0,0.0,1.0,0.0,0.8,14.0
14,0.7,0.64285714,0.0,0.0,0.0,1.0,0.0,0.5,7.0
15,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0
16,0.72727273,0.76923077,0.0,0.0,0.72727273,1.0,0.0,0.5,40.0
17,0.77777778,0.75,0.0,0.0,0.66666667,1.0,0.0,0.625,28.0
18,0.78571429,0.79245283,0.0,0.0,0.5,1.0,0.0,0.57142857,22.0
19,0.95238095,0.94736842,0.0,0.0,0.71428571,1.0,0.0,0.83333333,20.0
20,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0
21,0.85714286,0.82894737,0.02702703,0.0,0.28571429,1.0,5.73e-05,0.66666667,18.0
22,0.80555556,0.8313253,0.0,0.0,0.66666667,1.0,0.0,0.5,29.0
23,0.77777778,0.78440367,0.0,0.0,0.9,1.0,0.0,0.55555556,35.0
24,0.62222222,0.6971831,0.0,0.0,0.5,1.0,0.0,0.33333333,28.0
25,0.60714286,0.75,0.0,0.0,0.25,0.875,0.0,0.14285714,17.0
26,0.86111111,0.87301587,0.0,0.0,0.77777778,1.0,0.0,0.625,31.0
27,0.63888889,0.63888889,0.0,0.0,0.33333333,1.0,0.0,0.375,23.0
28,0.71428571,0.70909091,0.0,0.0,0.28571429,1.0,0.0,0.33333333,15.0
29,0.67857143,0.7012987,0.24,0.0,0.25,1.0,0.00060193,0.42857143,1.58333333
30,0.80952381,0.79411765,0.0,0.0,0.28571429,1.0,0.0,0.66666667,17.0
31,0.49450549,0.43772242,0.0,0.0,0.57142857,1.0,0.0,0.23076923,45.0
32,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
33,0.76190476,0.75,0.15789474,0.0,0.14285714,1.0,0.00034382,0.5,2.66666667
34,0.63888889,0.64705882,0.0,0.0,0.33333333,1.0,0.0,0.5,23.0
35,0.76190476,0.75,0.41818182,0.28571429,0.14285714,1.0,0.00131798,0.5,0.69565217
36,0.50833333,0.58974359,0.0,0.0,0.625,1.0,0.0,0.26666667,61.0
37,0.8,0.78947368,0.0,0.0,0.0,1.0,0.0,0.5,8.0
38,0.64444444,0.72670807,0.22666667,0.0,0.6,1.0,0.00068273,0.22222222,1.70588235
39,0.48571429,0.59482759,0.04672897,0.0,0.53333333,1.0,0.00013414,0.21428571,10.2
40,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
41,0.25833333,0.25490196,0.24390244,0.0,0.125,0.625,0.00050322,0.06666667,1.55
42,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
43,0.6,0.65957447,0.0,0.0,0.5,1.0,0.0,0.33333333,27.0
44,0.67857143,0.75949367,0.05,0.0,0.25,1.0,0.00010032,0.28571429,9.5
45,0.63636364,0.68835616,0.0,0.0,0.58333333,1.0,0.0,0.36363636,42.0
46,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
47,0.55555556,0.62195122,0.18367347,0.0,0.44444444,1.0,0.00040145,0.25,2.22222222
48,0.54545455,0.6,0.0,0.0,0.45454545,1.0,0.0,0.2,30.0
49,0.80952381,0.81428571,0.27659574,0.0,0.42857143,1.0,0.00074494,0.5,1.30769231
50,0.71111111,0.73404255,0.0,0.0,0.5,1.0,0.0,0.44444444,32.0
51,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
52,0.25,0.0,0.53333333,0.25,0.125,0.0,0.00080257,0.14285714,0.4375
53,0.30909091,0.33333333,0.34615385,0.0,0.18181818,0.72727273,0.00065744,0.1,0.94444444
54,0.62121212,0.58671587,0.11827957,0.08333333,0.5,1.0,0.00036844,0.36363636,3.72727273
55,0.8,0.84615385,0.42857143,0.33333333,0.0,1.0,0.00120289,0.4,0.66666667
56,0.46666667,0.56300268,0.0,0.0,0.6875,1.0,0.0,0.33333333,56.0
57,0.60606061,0.67588933,0.0,0.0,0.75,1.0,0.0,0.27272727,40.0
58,0.6,0.67164179,0.01492537,0.0,0.45454545,1.0,3.652e-05,0.2,33.0
59,0.95238095,0.94736842,0.0,0.0,0.71428571,1.0,0.0,0.83333333,20.0
60,0.85714286,0.84615385,0.0,0.0,0.57142857,1.0,0.0,0.66666667,18.0
61,0.57142857,0.52941176,0.07692308,0.14285714,0.0,0.85714286,0.00011461,0.16666667,6.0
62,0.66666667,0.68644068,0.31428571,0.11111111,0.33333333,1.0,0.00098131,0.375,1.09090909
63,0.44444444,0.58082707,0.0,0.0,0.61111111,1.0,0.0,0.23529412,68.0
64,0.83333333,0.75,0.0,0.0,0.0,1.0,0.0,0.66666667,5.0
65,0.93333333,0.92307692,0.0,0.0,0.0,1.0,0.0,0.8,14.0
66,0.7,0.6,0.22222222,0.0,0.0,1.0,0.00032064,0.5,1.75
67,0.47272727,0.54782609,0.25714286,0.18181818,0.36363636,1.0,0.00065744,0.3,1.44444444
68,0.75,0.68478261,0.0,0.0,0.5,1.0,0.0,0.57142857,21.0
69,0.8,0.78947368,0.0,0.0,0.0,1.0,0.0,0.5,8.0
70,0.40522876,0.50823529,0.04615385,0.0,0.55555556,1.0,0.0001343,0.23529412,10.33333333
71,0.6969697,0.76363636,0.0,0.0,0.75,1.0,0.0,0.45454545,46.0
72,0.83333333,0.75,0.0,0.0,0.0,1.0,0.0,0.66666667,5.0
73,0.66666667,0.58333333,0.0,0.0,0.44444444,1.0,0.0,0.5,24.0
74,0.75555556,0.75,0.0,0.0,0.8,1.0,0.0,0.55555556,34.0
75,0.80952381,0.81428571,0.39285714,0.28571429,0.42857143,1.0,0.00126067,0.5,0.77272727
76,0.4379085,0.55307263,0.0,0.0,0.5,1.0,0.0,0.23529412,67.0
77,0.71428571,0.69767442,0.0,0.0,0.375,1.0,0.0,0.42857143,20.0
78,0.71428571,0.67058824,0.0,0.0,0.25,1.0,0.0,0.42857143,20.0
79,0.51648352,0.62616822,0.0,0.0,0.5,1.0,0.0,0.23076923,47.0
80,0.89285714,0.89552239,0.0,0.0,0.75,1.0,0.0,0.71428571,25.0
81,0.33157895,0.38734177,0.04545455,0.0,0.5,0.95,0.00012097,0.15789474,10.5
82,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
83,0.32748538,0.47453083,0.2,0.10526316,0.36842105,0.94736842,0.00059399,0.05555556,2.0
84,0.37894737,0.49405772,0.12195122,0.05,0.5,1.0,0.00040323,0.10526316,3.6
85,0.85714286,0.85714286,0.28,0.14285714,0.42857143,1.0,0.00080225,0.66666667,1.28571429
86,0.70909091,0.73828125,0.0,0.0,0.63636364,1.0,0.0,0.5,39.0
87,0.71428571,0.69767442,0.0,0.0,0.25,1.0,0.0,0.57142857,20.0
88,0.7,0.64285714,0.0,0.0,0.0,1.0,0.0,0.5,7.0
89,0.66666667,0.64285714,0.0,0.0,0.0,1.0,0.0,0.4,10.0
90,0.475,0.55980861,0.0,0.0,0.5625,1.0,0.0,0.26666667,57.0
91,0.6,0.54545455,0.36842105,0.0,0.0,0.8,0.00056112,0.25,0.85714286
92,0.5,0.58787879,0.0,0.0,0.4375,1.0,0.0,0.2,60.0
93,0.34761905,0.36133122,0.08176101,0.0,0.33333333,1.0,0.00024972,0.2,5.61538462
94,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
95,0.51648352,0.55397727,0.0,0.0,0.35714286,1.0,0.0,0.30769231,47.0
