CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,1.0,1.0,0.14285714,0.0,0.0,1.0,0.00016697,1.0,3.0
2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,78.0
3,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,45.0
4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
5,1.0,1.0,0.03225806,0.0,0.0,1.0,3.339e-05,1.0,15.0
6,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
7,1.0,1.0,0.01369863,0.0,1.0,1.0,2.228e-05,1.0,36.0
8,0.52380952,0.6,0.0,0.0,0.14285714,1.0,0.0,0.33333333,11.0
9,0.73333333,0.88235294,0.08333333,0.16666667,0.0,0.83333333,6.679e-05,0.2,5.5
10,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
11,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,28.0
12,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
13,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,28.0
14,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
15,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
16,1.0,1.0,0.01086957,0.0,1.0,1.0,2.867e-05,1.0,45.5
17,1.0,1.0,0.03225806,0.0,0.0,1.0,3.339e-05,1.0,15.0
18,0.76190476,0.92307692,0.11111111,0.14285714,0.14285714,0.85714286,0.00011451,0.16666667,4.0
19,0.67857143,0.76923077,0.02564103,0.0,0.25,1.0,2.506e-05,0.57142857,19.0
20,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,36.0
21,1.0,1.0,0.01369863,0.0,1.0,1.0,2.228e-05,1.0,36.0
22,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
23,1.0,1.0,0.07692308,0.0,0.0,1.0,5.007e-05,1.0,6.0
24,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
25,1.0,1.0,0.25925926,0.2,0.0,1.0,0.00028045,1.0,1.42857143
26,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
27,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
28,1.0,1.0,0.17431193,0.1,1.0,1.0,0.00038099,1.0,2.36842105
29,1.0,1.0,0.03448276,0.0,1.0,1.0,5.011e-05,1.0,14.0
30,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
31,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
32,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
33,1.0,1.0,0.33333333,0.0,0.0,1.0,0.00020024,1.0,1.0
34,0.51515152,0.84466019,0.08108108,0.0,0.66666667,1.0,0.0001003,0.18181818,5.66666667
35,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,28.0
36,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
37,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
38,0.66666667,0.6,0.27272727,0.25,0.0,0.75,0.00015021,0.33333333,1.33333333
39,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
40,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
41,0.95588235,0.96147673,0.0,0.0,1.0,1.0,0.0,0.8125,130.0
42,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
43,1.0,1.0,0.29411765,0.25,0.0,1.0,0.00025035,1.0,1.2
44,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
45,1.0,1.0,0.01265823,0.0,1.0,1.0,3.087e-05,1.0,39.0
46,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
47,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
48,0.8,0.78947368,0.23809524,0.0,0.0,1.0,0.00020032,0.5,1.6
49,0.66666667,0.75,0.25925926,0.16666667,0.0,0.83333333,0.00023375,0.2,1.42857143
50,1.0,1.0,0.2,0.0,0.0,1.0,0.00020032,1.0,2.0
51,0.66666667,0.81818182,0.01639344,0.0,0.7,1.0,2.005e-05,0.44444444,30.0
52,0.86666667,0.86666667,0.0,0.0,0.0,1.0,0.0,0.6,13.0
53,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,36.0
54,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
55,0.8,0.84615385,0.17241379,0.0,0.0,1.0,0.00016697,0.4,2.4
56,1.0,1.0,0.03225806,0.0,0.0,1.0,3.339e-05,1.0,15.0
57,0.61904762,0.80487805,0.1875,0.0,0.14285714,1.0,0.00017177,0.33333333,2.16666667
58,1.0,1.0,0.25,0.0,0.0,1.0,0.00020028,1.0,1.5
59,0.80952381,0.88732394,0.0,0.0,0.28571429,1.0,0.0,0.33333333,17.0
60,0.82142857,0.91525424,0.11538462,0.125,0.875,1.0,0.00015033,0.28571429,3.83333333
61,1.0,1.0,0.03225806,0.0,0.0,1.0,3.339e-05,1.0,15.0
62,1.0,1.0,0.03225806,0.0,0.0,1.0,3.339e-05,1.0,15.0
63,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
64,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
65,0.94444444,0.94666667,0.0,0.0,1.0,1.0,0.0,0.75,34.0
66,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,28.0
67,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
68,0.71428571,0.77777778,0.03225806,0.0,0.28571429,1.0,2.863e-05,0.5,15.0
69,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
70,1.0,1.0,0.02325581,0.0,1.0,1.0,2.863e-05,1.0,21.0
71,1.0,1.0,0.06666667,0.0,1.0,1.0,8.589e-05,1.0,7.0
72,1.0,1.0,0.14285714,0.0,0.0,1.0,6.675e-05,1.0,3.0
73,0.60714286,0.73770492,0.0,0.0,0.125,1.0,0.0,0.42857143,17.0
74,1.0,1.0,0.09090909,0.0,0.0,1.0,0.00010018,1.0,5.0
75,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
76,1.0,1.0,0.0625,0.0,0.0,1.0,6.679e-05,1.0,7.5
77,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
78,1.0,1.0,0.14285714,0.0,0.0,1.0,0.00010014,1.0,3.0
79,0.53030303,0.85308057,0.11392405,0.08333333,0.66666667,0.91666667,0.00015045,0.09090909,3.88888889
80,0.57142857,0.72727273,0.22580645,0.0,0.14285714,1.0,0.0002004,0.5,1.71428571
81,1.0,1.0,0.0625,0.0,0.0,1.0,6.679e-05,1.0,7.5
82,0.78571429,0.82857143,0.0,0.0,0.375,1.0,0.0,0.57142857,22.0
83,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
84,1.0,1.0,0.09090909,0.0,0.0,1.0,0.00010018,1.0,5.0
85,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
86,0.82222222,0.96923077,0.0,0.0,0.9,0.9,0.0,0.11111111,37.0
87,0.71428571,0.77777778,0.14285714,0.0,0.28571429,1.0,0.00014314,0.5,3.0
88,1.0,1.0,0.11764706,0.0,0.0,1.0,0.00013357,1.0,3.75
89,0.75,0.8125,0.0,0.0,0.375,1.0,0.0,0.42857143,21.0
90,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
91,0.92857143,0.93103448,0.0,0.0,0.875,1.0,0.0,0.71428571,26.0
92,1.0,1.0,0.09090909,0.0,0.0,1.0,0.00010018,1.0,5.0
93,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
94,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
95,1.0,1.0,0.14285714,0.0,0.0,1.0,0.00010014,1.0,3.0
