CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,45.0
3,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
4,1.0,1.0,0.03225806,0.0,0.0,1.0,6.683e-05,1.0,15.0
5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
6,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,28.0
7,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
8,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,28.0
9,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
10,1.0,1.0,0.25,0.25,0.0,1.0,0.00040064,1.0,1.5
11,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
12,1.0,1.0,0.07692308,0.0,0.0,1.0,0.00010016,1.0,6.0
13,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
14,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
15,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
16,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
17,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
18,0.43956044,0.79012346,0.0,0.0,0.57142857,1.0,0.0,0.23076923,40.0
19,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
20,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
21,1.0,1.0,0.14285714,0.0,0.0,1.0,0.00013349,1.0,3.0
22,0.95588235,0.96147673,0.0,0.0,1.0,1.0,0.0,0.8125,130.0
23,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
24,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0
