day,site,new_customer,platform,visits,distinct_sessions,orders,gross_sales,bounces,add_to_cart,product_page_views,search_page_views
1/1/13 0:00,Acme,1,Android,24,16,14,1287,4,16,104,192
1/1/13 0:00,Acme,1,BlackBerry,0,0,0,13,0,0,1,0
1/1/13 0:00,Sortly,1,iPad,0,0,0,98,0,0,0,0
1/1/13 0:00,Acme,1,Windows,922,520,527,60753,149,610,3914,7367
1/1/13 0:00,Botly,1,Android,11,10,11,1090,0,11,4,19
1/1/13 0:00,Acme,1,Macintosh,384,214,213,28129,65,245,1783,3255
1/1/13 0:00,Sortly,1,Android,14,10,4,432,4,7,33,52
1/1/13 0:00,Sortly,1,Windows,1,0,0,31,0,0,2,2
1/1/13 0:00,Acme,0,Linux,41,27,6,705,6,12,130,272
1/1/13 0:00,Acme,0,iPhone,448,368,36,4637,80,79,722,1073
1/1/13 0:00,Widgetry,1,iPhone,15,14,15,1813,0,15,230,216
1/1/13 0:00,Acme,,Windows,58192,46312,0,,23664,2285,104651,258511
1/1/13 0:00,Sortly,1,Other,0,0,0,,0,0,4,2
1/1/13 0:00,Tabular,1,iPad,22,21,22,3378,0,22,0,0
1/1/13 0:00,Sortly,1,Macintosh,0,0,0,13,0,0,3,1
1/1/13 0:00,Acme,,Android,4942,4290,0,,1751,110,5750,14185
1/1/13 0:00,Acme,,BlackBerry,111,94,0,,55,3,111,198
1/1/13 0:00,Pinnacle,,Linux,7,4,0,,5,0,8,10
1/1/13 0:00,Pinnacle,0,Macintosh,56,45,5,1563,17,11,120,232
1/1/13 0:00,Botly,0,Android,20,19,20,2405,0,20,0,0
1/1/13 0:00,Widgetry,0,iPhone,113,109,113,15320,0,113,1729,1466
1/1/13 0:00,Pinnacle,,BlackBerry,4,2,0,,2,0,4,4
1/1/13 0:00,Acme,,Linux,984,886,0,,777,10,1078,1840
1/1/13 0:00,Pinnacle,,iPhone,282,239,0,,155,6,292,297
1/1/13 0:00,Acme,,SymbianOS,4,3,0,,2,0,3,4
1/1/13 0:00,Sortly,,Android,1676,1301,0,,952,50,2291,4465
1/1/13 0:00,Sortly,0,Linux,0,0,0,,0,0,0,0
1/1/13 0:00,Sortly,0,iPhone,406,317,53,6480,87,119,697,922
1/1/13 0:00,Pinnacle,,Macintosh,558,433,0,,263,17,731,1202
1/1/13 0:00,Acme,,Macintosh,26437,18922,0,,12039,1206,49492,114557
1/1/13 0:00,Pinnacle,1,Android,0,0,0,,0,0,1,2
1/1/13 0:00,Sortly,,Windows,16,14,0,,10,1,27,15
1/1/13 0:00,Acme,,iPad,20171,15708,0,,6694,914,37106,71190
1/1/13 0:00,Acme,0,iPad,2843,1984,470,75880,508,879,10803,17325
1/1/13 0:00,Pinnacle,1,iPhone,1,0,1,244,0,1,1,1
1/1/13 0:00,Sortly,0,Macintosh,1,0,0,64,0,0,5,7
1/1/13 0:00,Tabular,,iPad,3565,2916,0,,464,421,0,2
1/1/13 0:00,Pinnacle,0,Other,0,0,0,,0,0,0,0
1/1/13 0:00,Pinnacle,1,iPad,5,1,1,276,1,2,12,11
1/1/13 0:00,Pinnacle,,SymbianOS,0,0,0,,0,0,0,0
1/1/13 0:00,Acme,1,iPhone,18,17,12,1422,1,14,52,56
1/1/13 0:00,Sortly,,BlackBerry,1,0,0,,0,0,1,1
1/1/13 0:00,Sortly,,Other,459,458,0,,449,0,13,67
1/1/13 0:00,Acme,,,14,14,0,,14,0,3,5
1/1/13 0:00,Pinnacle,1,Other,0,0,0,,0,0,0,0
1/1/13 0:00,Pinnacle,0,iPad,27,22,3,798,6,6,69,102
1/1/13 0:00,Sortly,,Macintosh,20,18,0,,14,1,28,25
1/1/13 0:00,Botly,,Android,1173,957,0,,532,104,764,2159
1/1/13 0:00,Sortly,,iPhone,5683,4705,0,,2501,238,8420,12658
1/1/13 0:00,Acme,1,iPad,235,133,129,16209,38,152,1027,1443
1/1/13 0:00,Pinnacle,,Android,84,67,0,,48,1,89,146
1/1/13 0:00,Sortly,0,iPad,2,1,0,41,0,1,11,7
1/1/13 0:00,Pinnacle,0,Linux,0,0,0,,0,0,0,0
1/1/13 0:00,Pinnacle,1,Windows,6,4,3,621,1,3,20,25
1/1/13 0:00,Acme,1,Linux,4,2,2,222,1,3,16,25
1/1/13 0:00,Sortly,,Linux,4,3,0,,3,0,7,5
1/1/13 0:00,Acme,1,Other,7,4,3,242,1,3,15,26
1/1/13 0:00,Pinnacle,0,Windows,49,39,5,1595,11,11,112,237
1/1/13 0:00,Pinnacle,,Windows,746,614,0,,330,18,897,1588
1/1/13 0:00,Widgetry,,iPhone,4393,3460,0,,52,387,29814,44754
1/1/13 0:00,Acme,,iPhone,6121,5801,0,,2279,135,5435,9290
1/1/13 0:00,Acme,0,Macintosh,7038,4572,945,155655,2136,1625,23732,47414
1/1/13 0:00,Sortly,0,Android,94,73,7,1217,27,26,213,317
1/1/13 0:00,Sortly,0,Windows,2,1,1,55,1,1,5,5
1/1/13 0:00,Acme,0,Android,252,189,24,2760,45,60,706,1564
1/1/13 0:00,Pinnacle,,iPad,440,352,0,,200,13,529,758
1/1/13 0:00,Pinnacle,1,Macintosh,4,2,2,476,1,2,10,25
1/1/13 0:00,Acme,0,Windows,8738,6043,1445,212277,1345,2546,33303,68877
1/1/13 0:00,Acme,,Other,3596,2816,0,,2755,27,2808,6015
1/1/13 0:00,Acme,0,BlackBerry,11,9,0,23,3,1,11,25
1/1/13 0:00,Pinnacle,0,Android,2,1,0,89,1,1,8,7
1/1/13 0:00,Pinnacle,,Other,84,59,0,,63,0,22,150
1/1/13 0:00,Pinnacle,0,iPhone,8,7,1,313,2,2,12,21
1/1/13 0:00,Sortly,0,Other,2,1,0,17,0,1,1,0
1/1/13 0:00,Tabular,0,iPad,169,161,169,30917,0,169,0,0
1/1/13 0:00,Acme,0,Other,67,46,10,1483,12,19,239,435
1/1/13 0:00,Sortly,1,iPhone,53,34,20,2127,13,25,94,107
1/1/13 0:00,Sortly,,iPad,24,21,0,,15,1,41,37
1/2/13 0:00,Sortly,1,iPad,0,0,0,13,0,0,0,0
1/2/13 0:00,Sortly,0,iPad,3,1,1,130,0,2,10,15
1/2/13 0:00,Acme,0,iPad,2343,1641,388,60624,415,714,8029,12704
1/2/13 0:00,Pinnacle,1,Android,0,0,0,53,0,0,0,0
1/2/13 0:00,Pinnacle,1,iPad,2,1,1,144,0,1,5,12
1/2/13 0:00,Pinnacle,,Linux,10,8,0,,7,0,6,9
1/2/13 0:00,Sortly,1,Macintosh,1,0,1,44,0,1,1,1
1/2/13 0:00,Sortly,1,Android,23,13,7,665,6,11,42,61
1/2/13 0:00,Acme,1,iPad,215,119,111,14163,37,135,821,1187
1/2/13 0:00,Sortly,,Other,519,519,0,,511,0,8,55
1/2/13 0:00,Sortly,,iPhone,4985,4114,0,,2328,227,7186,10516
1/2/13 0:00,Botly,0,Android,23,22,23,2604,0,23,1,1
1/2/13 0:00,Sortly,,Android,1278,948,0,,747,43,1726,3101
1/2/13 0:00,Acme,1,Macintosh,420,230,226,28526,74,263,1627,3017
1/2/13 0:00,Sortly,,Windows,27,24,0,,15,2,55,23
1/2/13 0:00,Sortly,1,Windows,1,0,1,57,0,1,1,1
1/2/13 0:00,Acme,,Other,3784,3061,0,,3068,19,1868,4805
1/2/13 0:00,Pinnacle,1,Windows,8,4,3,964,1,5,12,14
1/2/13 0:00,Sortly,,SymbianOS,0,0,0,,0,0,0,0
1/2/13 0:00,Tabular,,iPad,2566,2127,0,,346,291,8,14
1/2/13 0:00,Acme,0,Windows,13071,8957,1941,280774,1921,3438,40757,83392
1/2/13 0:00,Pinnacle,0,iPad,22,17,2,677,6,6,45,72
1/2/13 0:00,Botly,1,Android,11,10,11,1048,0,11,1,1
1/2/13 0:00,Acme,0,Macintosh,8093,5176,1038,169350,2403,1736,23119,45104
1/2/13 0:00,Acme,,Macintosh,27146,19543,0,,12939,1181,47495,108238
1/2/13 0:00,Widgetry,,iPhone,4104,3169,0,,53,345,25303,37609
1/2/13 0:00,Pinnacle,,iPhone,243,210,0,,129,5,256,261
1/2/13 0:00,Sortly,1,iPhone,63,39,22,2194,15,29,90,102
1/2/13 0:00,Sortly,0,Other,1,0,0,,0,0,0,0
1/2/13 0:00,Tabular,1,iPad,17,16,17,2654,0,17,0,0
1/2/13 0:00,Widgetry,0,iPhone,117,111,117,15457,0,117,1648,1462
1/2/13 0:00,Sortly,,BlackBerry,1,0,0,,0,0,1,0
1/2/13 0:00,Acme,,iPad,15161,12036,0,39,5244,672,26259,50685
1/2/13 0:00,Acme,0,Android,249,183,21,2307,48,54,567,1220
1/2/13 0:00,Acme,,BlackBerry,123,104,0,,65,2,112,205
1/2/13 0:00,Sortly,0,Macintosh,1,1,0,54,0,1,5,3
1/2/13 0:00,Sortly,,Linux,3,3,0,,3,0,5,5
1/2/13 0:00,Widgetry,1,iPhone,17,16,17,1953,0,17,177,187
